date,rating,review_text,thumbs_up_count,title
2025-07-04 09:24:16,1,bad handling.... calls aren't connecting from tele crm and same calls are getting connected through normal phone dial... total time waste....,6,
2025-04-28 13:29:45,1,not working ! I bought two licences to test before buying more licences for my entire team.the app is not working as described it crashes most of the time. call recording are not being recorded in mobile and the support team has not given me any update and it's been more than a week.,6,
2025-06-26 09:12:29,5,"We’ve been using the Telecrm app for a few months now, and it has completely transformed the way we handle our leads and manage telecalling operations.",5,
2025-07-30 12:17:44,5,Telecrm is best it has app and web version. Telecrm team with very corporative and supportive we have around 100 user using it and has good outcome from this CRM. great going,4,
2025-05-12 09:29:36,1,"after doing so many calls also it will not be updated and even the time duration also it will not be updated end of the day after doing logout and login, uninstall again install this many things I have to do for Updation but again on 2nd day it will be same problem. end of the day it'll be updated as no calls less duration so pls do smtg for this issue or else it's a big no.",4,
2025-02-03 06:04:23,1,Very bad experience,4,
2025-10-13 04:57:12,5,Good to manage all the things .,3,
2025-05-05 15:48:11,1,"doesnt work ! stupid app, lags always",3,
2025-04-04 09:18:06,1,"very bad experience, slow loading, sometimes it take 4-5 hours to update",3,
2025-08-24 14:31:13,5,Using the app to handle my work. Find it really helpful,2,
2025-08-01 11:07:38,5,Amazing 🤩,2,
2025-08-01 11:06:44,5,good working,2,
2025-07-30 11:53:16,4,Nice app. Using for almost a year,2,
2025-06-23 12:44:41,5,Support from the telecrm team is really awesome. Keep rocking guys.,2,
2025-05-28 06:02:31,5,good,2,
2025-05-06 04:40:40,1,very slow 😞,2,
2025-04-26 07:03:39,5,"with the new update, the app is working so smooth helping us manage our leads effectively. and our problem for calling and whatsapp to our customers have been solved with this app. great app, telecrm is a sure shot tool for business to optimise their sales teams for effective reporting and tracking. kudos!",2,
2025-04-10 09:42:46,1,waste app,2,
2025-04-02 09:43:24,1,doesn't work,2,
2025-11-12 14:19:40,1,"multiple product issues, lot of bugs",1,
2025-11-06 05:37:16,5,Amazing CRM for Enterprises,1,
2025-10-23 08:27:28,5,TeleCRM is ideal Software for Small MSME to Large Corporation Businesses and to have complete track of Lead Capture to Customer Service and Success,1,
2025-08-06 05:54:22,5,Good,1,
2025-08-01 11:07:35,2,good,1,
2025-08-01 11:06:20,5,good,1,
2025-08-01 10:59:01,5,excellent,1,
2025-08-01 10:58:34,1,bad experience...!!!,1,
2025-07-02 04:46:28,4,good,1,
2025-04-07 07:33:34,1,very slow hang,1,
2025-03-13 11:21:55,1,Loading slow,1,
