date,rating,review_text,thumbs_up_count,title
2026-06-25 18:01:43,1,"went from four star to one star for the following reasons: first, you took away the option to have colorful arrows. second, now watching an ad gives you one life instead of three. extra irritating considering that sometimes you still don't get it (actually you almost never get it. the app crashes or goes back to the home screen almost every time ) third, I just saw one of your ads and it is NOT the way your game looks. don't lie to potential users.",72,
2026-06-20 18:50:26,2,"I have been playing offline. now I started playing online,I hit the hint button to get more lives,and after watching ad it started the game all over . I do not like watching ads to play a game I will never play online again.also if you touch a empty space it turns a arrow red and i am no way near it. still having a arrow i am no where near turning red why? I am still waiting for an answer. I am playing a nightmare game offline 6 times still get a red arrow.",11,
2026-06-24 22:45:07,2,This game is a great challenge that said. It could be improved by adding ways to earn ways out aids. all this game offers as aids is # . Some challenging games of the same type give you a penalty or offer a helping hand.,9,
2026-06-24 04:39:50,5,Woo Hoo! Level 4000 and no hints used. Gawd I love this game!!!,7,
2026-06-19 20:37:36,1,"Every time I open the game, another game comes up, and you can't get away from it. Pathetic as the day is long. Bye!",5,
2026-06-20 23:12:32,5,This is so relaxing I wish I would of found it sooner. Just want to say great job guys and Thank you. Can't get enough of this game it is so relaxing my wife and I lose time with it and after 2235 levels we want more,4,
2026-06-19 02:15:54,2,"Simple game that would otherwise be a decent time waster if not for ads after ever single level. Should be a silent game that you could listen to music while playing, but then the ads constantly disrupt your music. There is an option to pay to remove ads, which I might have considered if it was in the $4-5 range, but it's way too pricey for a game I'll probably get bored of and delete in a couple weeks.",4,
2026-06-27 13:42:00,4,"6/27/2026.....This game is fun and addictive with no time limits. This new update SUCKS. I'm on level 4221. The update took away the 3 lives to continue with watching ads. It is now only 1 life and those ads each time doesn't work. After watching the long ad, It doesn't give you your now one heart (lives) to continue. It took me 3 tries, I gave up and just restarted the level which is very frustrating. Please fix this issue. Thank you",3,
2026-06-20 00:53:25,1,"not a fan of yer recent updates, originally you had 3 lives, run out of lives then 1 ad gave you all 3 lives back, now 1 ad is 1 life... game used to have a infinite help system where you could see where the arrows will go, after update you removed it? why? also game screen to sensitive, cant move around screen without game thinking your clicking things,that's fkn annoying, wasting lives trying to move around screen",3,
2026-06-19 14:32:50,4,"The ads were just too much, so I had to close all at the end of every game and restart. That worked for a few days then at level 119, a system error came on repeatedly and I eventually gave up. Was good while it lasted, tho.",3,
2026-06-25 05:58:29,5,well it's easy and difficult at the same time.It's definitely fun and challenging. After while all you see is arrows lol.You're going to need a stylus eventually. There's some really good tough ones. It's a brain changer. it's worth it. 5 stars . Something changes so will this.,2,
2026-06-24 15:13:48,1,"Constant ads, and way too many useless spam easy levels specifically to force you to watch more ads. Difficulty level should be selectable: it's absurd to have to play through a half dozen levels a 5 year old could do just to get to one of the moderately-challenging levels. I've played to level 297, and it never gets more difficult. Just the occasional ""Nightmare"" (moderately challenging) level scattered among huge numbers of dead-simple ones.",2,
2026-06-24 07:51:07,4,All fun and very enjoyable. However sometimes the system gets stuck with commercials and I can't play any further until 1 or 2 hrs later.,2,
2026-06-24 04:43:04,2,"The recent update breaks a previously added feature. When you press & hold an arrow to preview its path, it now clicks the arrow when the hold is released, making the preview pointless, because it will just automatically send it. Also, there's a new visual effect when clicking the arrows. As they leave, some of the dots bounce and stuff. It's a bit distracting.",2,
2026-06-23 15:26:16,5,this was great until they removed my favorite feature yesterday. GIVE ME BACK MY OPTION TO TOGGLE ALL ARROW LINES ON! *Edit* favorite feature has returned 😁,2,
2026-06-22 18:59:29,1,"I was going to praise the game but it tricks you into thinking the ads aren't bad. at about level 20, here comes the ads every level and they are impossible to close. these aren't your normal ads you are used to. the whole good experience up to then is ruined because of this. don't waste your time, go with a different game",2,
2026-06-22 07:49:21,2,"the game itself is intriguing. my problem with it is the amount of ads. at first I got through 10 levels with 1 ad. a little much, but i understand. I got to level 25 and EVERY level has an ad. WHY?! they're not short ads, either. 30 seconds, unskippable, then 15 seconds of ""try it!"" ruins the entire vibe the game is trying to present.",2,
2026-06-22 02:46:20,4,"They won't let you rate below five stars on the app. They're lucky I don't dock another star for that, lmao. But seriously, this game used to be fun and stress free. Now, it's just a front for ads. I've completed over 400 levels, but the changes they've made are making me consider uninstalling.",2,
2026-06-22 01:07:52,5,"For maximum rewards, follow Arrows – Puzzle Escape on every channel: game center, email, Telegram, and WhatsApp. That's how I got $12.",2,
2026-06-21 23:51:28,2,"This is basically an ad delivery program that occasionally interrupts loud and annoying ads with a fun game. The game itself is great. But playing it without turning off the network access or an ad blocker is not something I can put up with. Many of the ads require sitting through the entire ad, a second ad, then hunting around for the exit. Blocking ads shows a bug after ~700 games where it starts getting unresponsive, then crashes. It should be a fun game, but it isn't. Removing.",2,
2026-06-21 19:31:29,1,"It is an entertaining game, but after level 200, the levels are exact copies of the previous ones, and as you progress further, everything becomes repetitive. This leads to fatigue and a sense of boredom with the game.",2,
2026-06-21 17:22:04,5,awesome experience... good time pass game.... realy enjoyed,2,
2026-06-21 06:38:56,1,"I have uninstalled it because this game has advertisements which send you OTP, receive it automatically and activate services with your consent so I think it maybe involved in data theft also. SO BEWARE (OLD REVIEW) The best thing I liked about it was that I can play it offline and I prefer offline games. it's a really easy and interesting game 🎯",2,
2026-06-21 04:12:31,5,"Idk why I love games like this, but, I just do. This simple looking game is only simple in graphics. Instead, it's a game that challenges your mind to use strategy and advanced critical processing skills in order to remove all arrows before losing your three lives. You usually get a couple easy levels, then you get a hard and harder. Then, the levels cycle through again. This produces those much needed levels of adrenaline and norepinephrine drops a game needs to keep people playing.",2,
2026-06-20 21:14:32,3,"fun puzzle game that's relaxing and satisfying. However, far too many ads. After every level, an ad appears, and to go ad free...$10 a month... crazy. Also some of the levels are repeats.",2,
2026-06-20 19:54:45,3,"It's definitely a fun brain game, but the ads can be very pervasive. Sometimes I can do a couple levels before getting an ad, and I have no problem watching an ad to get an extra life due to misclicks, but when I go to restart a level or start a new level I'd like to have it more consistent where every 4 or so levels we get a forced ad. The only ad-free option is over $10 per MONTH as a subscription",2,
2026-06-20 14:16:47,5,very nice game for time pass,2,
2026-06-19 23:10:51,4,"The white background is good. The ""challenges"" are a limited number and this means I can't play the harder levels. Id suggest colour options and level of difficulty settings",2,
2026-06-19 12:30:16,5,"Love this game! It's so easy. Very short ads, less than 10 seconds. You can get your reward money up really quickly. I'm playing this game on the Just Games app so I'm not sure if that's why the rewards are so good.",2,
2026-06-18 17:20:27,2,"Update: reduced from five stars to two. In the past two weeks, I have been consistently getting 5-minute long Atlas Earth ads after having an incorrect arrow ""accidentally"" tap while I am scrolling the screen. This is beginning to feel deliberate. Original review: Fun! Though I am absolutely certain the top players in the gold leader board are cheating somehow...",2,
2026-06-18 15:22:54,5,"it's an awesome game besides how simple it is, my challenge to anyone and everyone that may read this is download this game and try to solve 50 puzzles in a row without losing then hit the like button on my review, I'm up to 50 puzzles solved without losing at time I posted this review",2,
2026-06-28 05:48:35,1,"This Game is a scam and does not pay at all, You install under false presence",1,
2026-06-28 05:30:33,5,good relaxing mind game,1,
2026-06-28 04:28:14,5,nice game mind relax super,1,
2026-06-28 03:46:42,5,best,1,
2026-06-28 00:20:47,1,"I can't even open up this app. I love this game. But now there's 2 instances where, when I try to reach out to you on your support. you open up my PayPal. And now I can't even open up the game. Why is Google Play still allowing you to be in existence? Is my question? It's a great game, but the practice behind the game. It's not great",1,
2026-06-27 19:46:25,4,"Really solid, straightforward game. Even the nightmare levels are pretty stress-free. Ads aren't too overwhelming. I'd pay a small one-time fee to remove them altogether, but subscription pricing is just absurd. That's the only reason I'm docking a star.",1,
2026-06-27 17:35:25,5,❤️,1,
2026-06-27 15:25:10,5,I played this game on another phone and I was surprised this game was very interesting and difficult for other puzzle games.,1,
2026-06-27 14:10:18,3,great game but the ads can go away 🙄,1,
2026-06-27 14:05:43,5,"Arrows are pointing to empty spaces. Tap on them as fast as you can. Definitely sizzles my bacon. Definitely 5 stars. If I could gift you a Fart in a Jar, I would.",1,
2026-06-27 12:54:49,3,"i enjoy playing this arrows game, but what i don't like is the amount of ads from Tamu, you watch the complete ad, when you press Togo back to the arrow game, it take you to select a cup for a reward, I end up having to press the x 5 or 6 times before going back to the game, this game deserves 5 stars and will give 5 if the amount of time given to ads is cut to a reasonable time of say 30 seconds and not the 3 minutes it sometime takes.",1,
2026-06-27 12:12:28,1,the game is ok but there's a folt and it keeps going off when ads appear then you have to re start not good when you are on a super hard game you get half way through then restart not good 🤬😡😡🤬,1,
2026-06-27 10:34:03,5,nice,1,
2026-06-27 10:29:03,5,"Amazing brain training game! The arrow puzzles are simple to understand but become really challenging as you progress. It improves focus, logical thinking, and observation skills while being fun to play. The minimal design is clean, and the levels keep me engaged. One of the best puzzle games I've played. Play In Dark Mode Highly recommended! 🧠🎯",1,
2026-06-27 10:25:49,5,nice game,1,
2026-06-27 10:22:37,5,"This game is great no ads , just pure fun . anyone can play this I love this game and this is not a sponsor.",1,
2026-06-27 10:17:19,3,nice,1,
2026-06-27 10:16:04,1,good 👍,1,
2026-06-27 10:07:38,4,nice to play,1,
2026-06-27 09:59:05,5,nice,1,
2026-06-27 09:41:47,5,good,1,
2026-06-27 09:41:22,5,very nice 👌👍,1,
2026-06-27 06:33:49,4,very interesting and fantastic,1,
2026-06-27 05:06:46,3,super se upar,1,
2026-06-27 03:49:07,5,"Very nice and addictive game. One of the best games. Reliable and professional support team. Very, very, very satisfied!!!",1,
2026-06-27 02:37:53,3,very impresssive game,1,
2026-06-27 02:32:20,4,exciting,1,
2026-06-27 02:31:23,4,The game is nice and easy but can be frustrating especially with the newest update. Some games are too big for the screen and now there are icons taking up space. The old way of holdinga line to see if it's safe now releases it even when it's bad. NOT helpful. It is frustrating that it will think I've touched a line when I'm touching the one next to it. Around level 600 it will start lagging and shutdown.,1,
2026-06-27 01:57:12,5,testerup is paying me good with this game,1,
2026-06-27 00:58:58,3,I give 3 stars because I am waiting to see if it really pays out and as a game tester I will let everyone know the truth,1,
2026-06-27 00:54:49,5,wow this game is so much fun started off you know slow just easiest can be and then as you go up and levels it gets harder and harder and then the monthly challenge things really hard and really fun so having a great time I'll probably keep playing it for a while,1,
2026-06-26 22:45:50,4,nice game,1,
2026-06-26 22:10:29,4,fun and challenging!,1,
2026-06-26 21:54:47,5,good game full time pass,1,
2026-06-26 21:36:29,4,good,1,
2026-06-26 20:39:36,5,"Good potential, but frustrating The game itself is awesome and fun to play. But the 1-minute long ads after every level completely break the flow and ruin the fun. Way too many ads!",1,
2026-06-26 20:31:26,5,awesome,1,
2026-06-26 19:16:43,1,I have been playing all your arrow games that never cashes out. yet you get paid for us to watch the ads. why can't you pay out like you said in the video. oh and not one of them gave me the click below and get $200 well none of them do that either. i don't understand why you can't you just let me cash out,1,
2026-06-26 18:22:11,5,nice game 👍,1,
2026-06-26 18:03:51,5,awesome gamies and payouts,1,
2026-06-26 17:50:18,3,mind blowing game... very addictive,1,
2026-06-26 17:09:56,4,"not bad, but it can be frustrating. level 3531 is completely unsolvable. if you follow the arrows at the end of the lines, they don't do anything. the developers of this app need to pay more attention to what they're doing. ads are annoying and sometimes you have to close the program to get out of them even when they're done. and those new doodads they added are not only completely unnecessary, but annoying. they should have left it as it was.",1,
2026-06-26 16:58:13,5,good game for your mind,1,
2026-06-26 16:54:38,5,very good,1,
2026-06-26 15:38:01,3,"I love the game because it's easy, fun, addicting, and you could play it on hours end. I've been playing almost everyday after installing the game, however I rlly didn't like the new update that much. I tried to long press the arrow and it just shows highlights the direction and proceeds to pull the arrow out, causing to lose a heart. It would be much better to stick to the old long press option, but keep the grid direction option, it looks overwhelming but few more cleaning up is what it needs.",1,
