date,rating,review_text,thumbs_up_count,title
2025-11-30 02:31:39,1,"IT'S NOT RESOLVED!! PLEASE OPTIMISE YOU APP. It Hogs all the RAM and freezes and Reloads by itself after a while and I lose my search progress !!! having to start all over again!!. I use flipkart most of the time,more than Amazon and Snapdeal. My device runs both like a breeze on tgise apps, but Flipkart times-out and freezes, and takes longer to Load...sometimes it gets so slow that I just log out midway. 8gb of RAM is more than enough for everything i do,but it can't handle Flipkart, what!!???",956,
2025-11-28 08:12:34,1,Very poor customer service. They impose all kinds of burden on customers only . They don't set the liability of sellers. I purchased two items and repeatedly the seller sent the wrong item. At last I didn't get anything but I paid a platform fee two times it happened. it doesn't matter how much I paid ?? but it's wrong in case you are not taking the responsibility then why are you serving as a mediator between customer and seller?? why don't you register the complaint against the seller??,242,
2025-11-21 06:03:52,5,"I recently bought these glasses from Flipkart, and I am extremely happy with the quality. The frame feels strong and lightweight, making it very comfortable to wear for long hours. The lens clarity is excellent, and it gives a very stylish look too. Packaging was secure, delivery was fast, and the product looks exactly like the pictures. Overall, a great value for money. If you are thinking of buying good-quality glasses at a reasonable price, go for it without any doubt!",236,
2025-11-24 04:32:56,1,"If it's possible to give a negative review, i would have given it as well. First of all, they don't allow you to talk to their customer service executive on call, no matter how much you are pissed off by the service, you just can't contact them. And the delivery issue, they never deliver you on the given date, expect an extra 4 to 5 days delay on every product you order.",236,
2025-11-29 20:01:34,1,"I don’t understand what Flipkart is even doing anymore. I tried buying a 1TB WD hard drive for ₹4750, and the app straight-up refused to deliver it to my address. Not once. Not twice. Five different addresses I tried. Every single one showed “No Delivery Available.” And the best part? I tried again after a few days hoping it was a glitch, and the same nonsense happened all over again. What kind of platform lists products they can’t even deliver? This is ridiculous and a complete waste of time.",222,
2025-11-27 07:28:56,1,"Flipkart has given me a very bad experience again. I received a fraud product—wrong item, poor quality, and even the bill on the parcel was changed. When I requested a return/refund, your team kept telling me to wait for a week. It has now been almost a month, yet no pickup and no refund. This is unacceptable. Please stop selling such fraudulent products and resolve my issue immediately.",197,
2025-11-25 09:10:00,1,"Very bad experience, their customer care executive doesn't help with anything and their application and process is horrible. I cancelled a replacement request and wanted to generate a return request instead of it and it took them 6 days to do so, this is heights when other applications do it immediately. Better order from other platforms who resolve your issues and queries quickly if you face them.",32,
2025-11-19 15:11:56,1,"So I have been using flipkart for many years. And this year I have frustrated with the service of flipkart. All the product delivered are used or duplicate products and the delivery is also delayed. And when you return damaged, defective, wrong color product or any other issue, they will sometimes charge return fees and they will also not return platform fee. They are increasing platform fee on day to day basis. In the October month it was 2 Rs. and now they are charging 7 to 10 Rs. and more.",31,
2025-11-21 11:32:31,1,"Flipkart used to deliver products within 7 days, but now the delivery takes much longer. The app shows 12–14 days, yet the order still gets delayed and often arrives after 18–20 days. This affects the whole shopping experience, especially when we order something for a specific occasion and it doesn’t arrive on time. Even the SuperCoins and offers feel less rewarding now. Please improve the delivery speed and accuracy",23,
2025-11-27 15:05:18,1,"Four points 1. Pressing back button from item page takes user back to the top of the cart page instead of taking user to the last location in the SAVED FOR LATER list. 2. It takes a long to move item from one wishlist to another. End. 3. There is no wish list in grocery items. You can't save any item in a list for later purchase. 4. The ""question & answers"" feature is insane. Moderation is ridiculous. End.",23,
