date,rating,review_text,thumbs_up_count,title
2025-11-10 00:51:34,1,"still terrible. They now spoil every race showing the podium as the title screen for the race. Imbeciles. Changing the view to a specific driver causes the stream to reset to zero, and my mostly fail to show the driver cam (like verstappen today - silverstone). so amateurish for the price, not worth it.",65,
2025-10-14 15:22:47,1,"newest version is less intuitive. now when I navigate away from the app - for a call, message, photo, etc. I can't just reopen and continue where I was - it restarts the app and starts at the main screen and I have to find what I was watching and hope it restarts where I left off (it usually doesn't). even a ""recently watched"" tab would be helpful. still no PiP function for >$100/year. this will be my last year paying",48,
2025-09-22 13:31:30,4,"Great app with one big wish. I love the F1TV app—great coverage, access to practice sessions, and all the behind-the-scenes content. My only wish is to have a “No Spoiler Mode” or an option to turn off auto-play. Sometimes I’m catching up on practice or qualifying and the app jumps straight into the race replay, which ruins the suspense. Other than that, the app is excellent and a must-have for F1 fans. Add a spoiler-free mode, and it’s an easy 5 stars!",34,
2025-10-15 00:30:11,5,"The app works great on my phone and on my Roku stick. With that out there, the layout and programming choices are not good at all. There is no guide with times to upcoming races,FP's or quali. Most of the bonus stuff like support races is only available live, it's not archived and the absolute worst is having to change streams from pre race, to race, to post race. Seriously? We know Liberty Media are greedy F'ers but that is just lazy. It's 2025, do better.",29,
2025-09-20 12:37:00,1,"no option to select video playback quality which was there previously. my wifi is capable of 4k playback but f1tv is not even able to do 1080p for baku qualifying. why do remove the useful things. with all the technology f1 has, it can't produce a decent app for it's fans. disappointing!",27,
2025-11-08 14:44:39,1,Great idea and app when it works. But super laggy and worst app to watch F1 on a smart TV. Only streaming app that constantly and consistently lags and buffers during live coverage. Almost useless like this. Cannot understand that they cannot fix this.,23,
2025-10-11 22:33:14,5,"Great app. easy to use and can watch any of the practice, qualifying, or race coverage when u want. It also has a substantial amount of the race footage from prior years so if you are new or want to see some of the great races from the past, they are there.",21,
2025-10-26 19:30:15,3,"Consistently getting less while being charged more. Became a fan because of Netflix, paid for a premium experience at a premium price and it was AWESOME, then you charged me more and gave me less. now you're selling out to Apple TV. It's little exclusive deals like this that make it harder and harder for me to see what I want to see and is why I don't watch Indy anymore. If next year sucks with apple, I'm out. Greed ruins the customer experience.",18,
2025-11-22 21:49:13,1,"""F1 TV PREMIUM is available for purchase on your android device, but F1 TV PREMIUM features are not yet available on Android or web browsers other than Chrome"". This is the only meaningfull part of the apps description if your going to do exactly what an app put on the Google play store should do, WORK ON ANDROID! What an absolute joke how long this has even been a thing , especially coming from F1 who puts so much into RND! They should be embarrassed. ""if it dont make dollars it dont make cents""",16,
2025-11-29 19:21:45,1,"Seeking is broken, watch from start will instead play live, bugs like this gave plagued this app for years. certainly not as high tech as you might expect for the cost of a subscription.",12,
2025-09-21 13:54:10,1,"this sucks! I have had F1tv on my Chromebook for awhile now. I don't always need it because we watch on our TV at home BUT sometimes when we travel or I am farm sitting I watch on my Chromebook while my husband watches at home. NOW it isn't available for Chromebook!!! PLEASE fix it! Chromebooks are tablets too. Not a happy day, no F1 race phone dates for us.",11,
2025-10-26 09:42:32,1,"Keep getting kicked out of the stream. Multiple race weekends in a row I've tried to log out all devices. Does not help. On my phone it does not give any warnings, chromecast just stops as well, laptop says too many devices (even though only one is logged in). This app goed from one problem to the next. It's absolute garbage.",11,
2025-10-18 05:40:56,1,"Absolute nonsense to force paying customers to use another service in the future. I paid for F1 TV because I only want F1 coverage, not all of the trash that is AppleTV, no matter how much money Apple paid for it. Garbage move that will kill F1 for me.",3,
2025-11-08 15:27:33,1,4k playback option gone after update only hd available even though i have tcl miniled 4k tv and the premium subscription,3,
2025-11-23 03:13:00,1,"UPDATE (2025)- The Roku app volume control absolutely sucks on this app throughout the 2025 F1 season, randomly spiking 50-70% higher at unexpected times and no quick resolution. You would think that for the amount that they charge to hundreds of thousands of subscribers, they would have hired based on competency.",3,
2025-10-04 07:31:01,1,"Paying so much money per year and having such a bad app is a disgrace. Streaming has a delay and sometimes it doesn't even start playing. So when I'm out I can't watch the race. Happening on multiple androids so it's really time to fix this issue! Oh, and you should make an app for PlayStation to stream on there (just a thought).",2,
2025-10-18 08:27:19,1,"Despite having a payed subscription, there is no schedule for upcoming F1 broadcasts!! Addition months later - still no schedule",2,
