date,rating,review_text,thumbs_up_count,title
2025-11-28 09:29:39,3,"Two issues: 1. It constantly misunderstands prompts, jumping to assumptions about what the user says. 2. The ""Something went wrong (9)"" issue is getting extremely annoying. It sometimes shows after just two prompts and stays the entire day, or appears after a long chat. The second one is the more frustrating issue and needs to be looked into. I constantly end up using the webapp in Chrome incognito mode because that's the only place where this error never shows up.",266,
2025-11-26 16:03:48,2,"It seems to be getting worse with every update. Basic stuff is now unusable. For example, sometimes saying ""flashlight on"" correctly turns on my phone's flashlight, but sometimes it tells me about flashlights, or just ignores me, or makes me unlock my phone. Navigationnow barely works and takes many tries to get started. ""Cancel navigation"" might confirm that navigation is canceled, but my navigation continues. I feel this could be great someday, but it is not there yet.",90,
2025-11-20 18:39:20,5,"It's a great tool. Is very helpful, and effective. It helps me every day with in my job. I use it for investigating, to programming and resolve some doubts. I like it so much. I would like the that it would allow to use folders, I mean folders to manage the different conexts and topics that one can use. This is for better organization and segment, this this would make it better.",78,
2025-11-20 13:51:02,5,"​I used to use ChatGPT, but its subscription is too expensive, and prices aren't localized. ​I recently switched to Gemini (after trying it a year ago and being disappointed). I am thrilled! This week, Gemini wrote Python code far more accurately and thoughtfully than ChatGPT. The app is much better and more user-friendly. ​The new Version 3 (with code in separate files and file upload capability) is amazing. Plus, the Plus subscription is very affordable with localized pricing.",57,
2025-11-29 04:14:20,1,"Just a waste of time My request was straightforward: generate schedules from a list of accounts where the total denomination is \le \$20,000, and exclude any account with ""60 months paid up to."" Despite providing the necessary names and denominations, the system repeatedly failed to proceed because I did not initially provide the exact ""Months Paid Up To"" value for every single entry. It became a frustrating, circular loop where the AI demanded the missing column data, even when I offered to ma",53,
2025-11-24 00:13:15,1,"Update 11/23/25. Still freezes when you use the talking feature. It also literally guessed information I asked it for based off of ""tropes"" that's literally the excuse the A.I. gave me. It did it several times and even when I added it to it's memory to always provide me with sources it went against it. I know this because I busted it and it apologized. It's not ready for prime time. Needs work. Freezes often and words get cut off so you can't hear the answer to the question you asked it.",44,
2025-11-25 06:28:41,1,"Since the release of 3, I was initially quite impressed, but now it's crashing all over the place and can't manage to keep basic facts straight. Right now I'm trying to help me handle work I'm having another AI do, and not only is Gemini failing to analyze the work properly, it jumps in and tries to do the work itself after I've repeatedly told it not to and it apologizes and promises it won't happen again. And then it does it again. Badly. Also, switching between Fast and Thinking crashes it.",38,
2025-11-29 20:25:45,5,"I just asked for stocking stuffer ideas and am seriously blown away by how great the suggestions are. and it did not try to push any specific product sales on me, just suggested small items at the price point I had requested. this was one of the best generative AI experiences I've had so far, so I will definitely be switching to Gemini!",26,
2025-11-30 17:45:36,3,"I would have rated 5+ stars because its capacity to create images and podcast-like overviews are cool. However, subsequent update seem to make the app work more and more poorly. The Voice Match is unable to recognise and transcribe words as before. A lot of times, the responses to prompts are irrelevant —or nothing(I don't know if my prompts are too complex, or expectations for Google Gemini, too high.)",17,
2025-11-25 04:27:16,1,"nobody said there was a limit of how many times you can use this app. once you reach the limit, they demand a high fee for you to use it. like $20 a month? that's more than 2-3 streaming services combined. Also, every time you add something to the image you were working on, the entire image gets blurrier, which includes all of the spots you didn't request a change in.",12,
