date,rating,review_text,thumbs_up_count,title
2026-02-16 18:46:50,1,"Allows people to make fun of Native Americans. I reported a comment under a post saying a Native American man should be called ""Chief Slot Machine from the Casino"" and the response was ""this doesn't go against our guidelines."" Absolutely ridiculous to allow that kind on hate on the app. The amount of racism I see on here DAILY is ridiculous and only increasing. Explains why everyone I know is using this less and less.",3089,
2026-02-17 05:05:50,1,"The app is suddenly scrolling by itself? Apparently Meta thinks we're so brain dead from their apps that we can't scroll without their help. Hate this new ""feature""",763,
2026-02-16 14:53:11,4,"The App is still a good place to showcase yourself, your work, your interests and to be inspired . It's hard to get reach now ; likes have dropped and there are too many new features that don't really help users all the time. But it's still the best place for visual content.",315,
2026-02-17 00:14:43,1,A problem after the latest update. I can't scroll new comments after a certain point. It simply freezes and won't load anymore. It was working fine before the update. I can read a few dozen comments at most. Very frustrating. And videos keep cutting out. There's always an issue with every single update on Instagram!,298,
2026-02-15 20:04:43,1,Yet again!!! Why all the sudden is the explore feed showing everything as reels. You can't see the date of when something was posted nor can u scroll and see a brief overview anymore. You have to actually click into each post then go to the page of who posted it to begin with in order to see anything. Sooo stupid. I want my casual browsing in my explore area back!!!! 😐,100,
2026-02-16 11:40:13,1,"what has happened to the feed? Even with the algorithm adjusted to my interests, I get hardly anything I want. Having to rely on following and favourite. I'm missing out on new content!!",78,
2026-02-16 13:48:39,3,"It's getting better, but the bugs that require uninstalling then reinstalling shouldn't be on us to fix their issues. Stop being so lazy and fix issues that are reported instead of ignoring the problem. We should be given updates, patches that address issues as they happen or shortly after. You have enough employees. Get them out of the break room and make them do their jobs. Or pay us every time we have to do an uninstall/reinstall",67,
2026-02-16 01:47:27,3,"The majority of pictures or videos do not show in # hashtags or will show up in other hashtags. Also, music will be removed from postings without or removing functions that were very useful notifications. Having issues loading pictures or videos. I completely understand that Instagram is evolving. The least they could do is send out notifications, new changes, and old features removed or replaced.",47,
2026-02-17 16:43:43,1,Is Instagram now the new porn and spam app? It's clear that Meter forgot to be more thorough in the area of spam and porn accounts disguised as viruses and hackers!!!,37,
2026-02-16 12:13:12,3,"Being on Instagram is nice, you can see your other friends' photos or live videos when you can't see them in person. Different from Facebook, in a way of posting photos/videos. it would be great if Instagram had a tool where you can delete and add photos to your older posts on your account page. but the one thing I miss the most, which was my favorite use of Instagrams, was their grid reorder. Instagram isn't the same without it.Feels like starting posting your whole grid all over again",35,
2026-02-16 08:00:25,1,"All I use it for now is reels, just like facebook. It used to about photography, back in the early 2010's, those days are long gone. The AI search shggestion overlay is so annoying, and the automatic captions. I hate when everything is covered when you are watching something. what's the point of watching it if you can't even see it?",35,
2026-02-15 21:39:43,1,"I wouldn't recommend you to get this app, I had my account for months and got suspended for absolutely no reason I've tried to appeal it but it didn't work and instead they disabled my account, and every since that happened every time i made a new account I kept getting suspended for no reason I don't go against Instagram violations or rules so I don't understand why I keep getting suspended.",22,
2026-02-16 19:16:29,3,follower nahin aur vews bhi nahin bad raha hai video yaral nahi hota hai,21,
2026-02-16 18:05:46,1,Porn ads nonstop. From Instagram itself. its such a pile of garbage.,15,
2026-02-17 15:53:16,1,"I click Explore, and the initial image of every post I click on is blurry. Never encountered that until now. Ruins the viewing. If there are additional images in its ""carousel,"" though, then those, as you swipe left, appear in perfect definition. And if you go to the trouble of clicking on their profile and revisiting that Just Seen first image *then* it's displayed crystal clearly. But the initial view from the 🔍 page results in a low-definition/poorly pixelated-like image.",14,
2026-02-16 08:30:48,5,"Title: Keeping me connected in 2026 ""Still the best way to stay in touch with friends and see what's happening globally. The Al-integrated search has been a game-changer for finding travel spots and recipes, and the 'Notes' updates are actually really fun. The platform feels smoother and more intuitive than ever. Big fan of the enhanced privacy controls this year!"".",14,
2026-02-15 18:02:03,1,"I just updated this morning. Everything is in dark mode against my will (not enabled on the app or my phone). Half the emoji are weird rectangles (my keyboard is up to date). Now videos on my FYP don't play. Every time I update, I go 15 steps backwards.",13,
2026-02-16 11:10:48,5,"love it , My primary social media tool",12,
2026-02-17 10:17:46,1,"was garbage, is garbage and always will be garbage",11,
2026-02-15 15:23:36,1,Please add option to unlike my all likes...my friends have started questioning my mental health...😭😭😭,11,
2026-02-16 20:23:50,1,"As they've increased the minimum daily advertising budget it's simply unaffordable, bad marketing...! Full of tacky adverts, this is a sure fire way to rot your brain. And since recently they make it more difficult to notice it's adverts in the feed, you think they're your friends and more likely to be clicking, this is a deceptive marketing practice and will simply make people want to delete the app",10,
2026-02-15 16:32:06,1,"my account was suspended/disabled for no reason. It said that i had violated community guidelines, but I didn't do anything. EDIT: I made a new account after my old one got disabled, and my new one got disabled as well. They didn't even tell the reason this time, just disabled it again. EDIT: it just doesn't let me login my account even when i put the correct password it just says incorrect and when i change the password, it still says incorrect password💀",8,
2026-02-15 16:00:48,1,"Cant tell you how many times ive posted a comment I wasnt done with because the send button is right under backspace. Then you cant copy the text of the comment you just posted so you have to completly restart. you should be able to chose which part of the photo you want when you add a photo to your story. for example, adding a photo to a photo you are going to post on your story. whenever I try to do it and tap them and get to the heart and it always focuses on the wrong part of the photo. istg",8,
2026-02-17 16:56:40,1,"tolong kita sebagai musisi ingin instagram jangan ngeconvert bitrate audio dari 128 jadi 64, PECAH BANGET SUARANYA WOY JADI JELEK. sia2 mixing berjam2 tapi pas di upload IG jadi JELEK. psdahal platform sebelah aman. mikir dikit lah.",7,
2026-02-16 01:24:25,1,"1 ☆. New bug doesnt open instagram pages from chrome or facebook, so you still have to manually search the pages anyways. meta trash meta trash ai bs. no humans behind development at this point. been a problem reported by many for a week.",6,
2026-02-15 16:03:27,5,I love using instagram,6,
