date,rating,review_text,thumbs_up_count,title
2025-10-14 08:33:16,5,"Amazing! I recently came back from NY and I had to open a bank account. It was such a bad experience, other banks would take forever especially Indus bank is trash, their customer service is negligible, the app doesn't even work. And yesterday I tried this bank, didn't even had to go anywhere one of the few banks whose website or app works no lags or bugs. Opened my bank account in like 30 mins remote and even the kyc was done by evening ( 8 hrs max)",1599,
2025-11-08 12:41:14,5,"Kotak Mahindra Bank's 811 app. User friendly. But many features are not yet available in this app, so there are many difficulties, such as checking credit score, some facilities are not yet available in this app. So we have to log in to our old app sometimes, log out and log in to the new app, we are facing a lot of problems. So the Kota team is requested to add these facilities to the Kotak 811 new app very soon.",696,
2025-10-05 15:42:25,4,"Feedback/Suggestions 1).This new 811 app doesn't show loan offers. the offers are shown on main page but as soon as you click on it nothing show in loans corner, they send you messages and emails about loan offers but in the app it disappears in loan offers corner 2). There's no option to add or pay through rupay credit card also",693,
2025-10-12 14:46:06,1,It's my very bad and worst experience with Kotak. There is no customer support for any type of complaint. My account has been blocked for 2 weeks then I visited the kotak branch and they advised me for a talktime recharge to contact customer care. But still it's very disappointing. This is also not helpful. I'm visiting a branch and they are refusing to help with this and also the Kotak app is not helping. I don't know what to do now. I'm very frustrated. It's very disappointing for a customer.,410,
2025-11-15 15:55:26,5,"The Kotak 811 app is very easy to use and perfect for fast digital banking. Opening an account, sending money, paying bills, and using UPI all work smoothly without lag. The interface is clean, and features like the virtual debit card and quick KYC make the experience even better. Overall, it’s a reliable and convenient app for everyday banking.",395,
2025-10-19 08:33:07,5,biometric login very smooth. after any i make updates receiving notification immediately. and the app has great UI and nice UX. this new version app user-friendly now and very convenient. now everything is available in one place. all features like fund transfer and Bill payment and debit and credit card management .cheque and passbook. ATM card request and statement download and add payee and UPI payment management are much faster now. I'm really impressed with the new KOTAK Bank app.,282,
2025-11-01 01:25:40,5,"Kotak 811 mobile app offers a smooth and convenient digital banking experience. Account opening is quick, and the interface is clean and user-friendly. Features like instant fund transfer, bill payments, and virtual debit card make daily banking easy. However, occasional glitches and slow load times can interrupt usage. Overall, it’s a reliable app for managing finances digitally with room for performance improvements.",269,
2025-10-09 07:15:03,5,"Simply amazing. Account opening is easy and fast. I have account with kotak811 for few years now, and never faced any issues with transaction, even the few I did face was solved quickly by support. Kotak811 is simply best banking app, no extra clutter, simple interface, all necessary services are available. UPI. Credit card and debit card settings with single click. Easy FD, RFD booking and mutual funds investments. Loan and Insurence. Everything. App is clean, easy, fast and reliable.",234,
2025-10-24 14:26:47,5,very good app. This type of app I really wanted for a long time for banking services. It makes banking services very easy to use for person like who hates complex traditional banking in which we have to visit bank branch for every small work. Thanks Thanks alot. 😊😊😊😊,233,
2025-10-08 14:30:15,1,"Everything was correct KYC and all but the money for welcome kit was debited from my account but that was not received nor was its refund received then I did not take any plan, nothing, the money for insurance policy would have been debited Resolve my issue, what the hell is this, as soon as a big amount comes in the account, money gets deducted for some reason or the other, worst experience.",219,
2025-10-20 08:41:49,4,"Hi is it possible in your next update to add a budgeting and expenses tracking feature it would help improve overall experience and make it a on stop solution for my financial needs and add a goal setting feature as well please do consider it. it will help reduce the need for other applications. please use the wallet app as a reference the feature are good, and I hope kotak can implement them in the next update.",216,
2025-11-30 07:15:05,5,"the most fastest way of transfering money. for daily uses under 20k. 1. highly efficient 2. they give cashback for real, not scratch'n ""betterluck next time"".😄 3. Minimal interface, not much integration there. 4. such a basic version, ease to quick move around. Still a good working model of beta version with good interface. The only thing i want you to update is the forget password area, where you ask mothers maiden name- which was an autogenated from what we enter in your format.",203,
2025-10-10 15:40:28,5,"I am using it today on 10th October 25th. So far I am liking it. I have installed the new app and opened a new account. The account was opened today itself within about three hours. So far it's going well, don't know what's next I am writing this review later, so I want to say that after using it for some time, I realized that more work needs to be done on the UI of the app. It seems that the process is slow, please fix it.",184,
