date,rating,review_text,thumbs_up_count,title
2025-11-28 05:53:20,1,"They are the worst! My glasses broke in less than one month. The store representative didn't pick up the call. Customer care call didn't connect me to a representative for over 20 minutes and played their irritating music all the while till I got a headache. When you want to order something, they will connect with you in under 2 minutes. When you face any problem with their products, they won't give you the time of the day.",74,
2025-11-28 15:00:10,1,"I visited a Lenskart store in Bengaluru and placed an order for two spectacles along with the Gold membership, totalling over ₹9k. When I checked the order history in the app, I noticed that the salesperson had scanned the wrong QR code for one of the frames. I went back and reported it to the store within two hours after purchase, but there was no option to cancel or update the order. There’s no proper customer support either. First time trying Lenskart, and the experience was disappointing.",68,
2025-11-26 12:11:55,4,"No customer care service,I have ordered specs from 2 times payment done and only one order placed.No one is to hear,Guy handling the store is unable to resolve the issue.This company talks about tech. but so bad tech. in the app. Worst Experience.",18,
2025-11-24 06:02:11,1,"Worst service of lenskart. My experience of visiting the lenskart store was very bad. I ordered the glasses from the store and we picked my order from the store. Firstly there was no home delivery option secondly when I picked my order the glasses box was not there , they gave me a glasses case not a box and not a bill. The printing was removed from the frame of the glasses. I thought the glasses were not new. Worst service.....",9,
2025-11-24 14:48:12,1,"When I bought my new glasses, the lenses were sticking out of the frame. When I tried to get this corrected, the staff just gave excuses. They then charged me a significant extra fee to switch to lenses that would fit the frame properly, despite the fact that I purchased them using my 'buy one, get one' membership scheme.",7,
2025-11-29 06:11:53,1,"I got offer voucher for lenskart in Gpay. So I tried to redeem it, I tried to purchase it and selected gpay as payment gateway, it redirects to gpay app but no payment option to click comes. So I Tried again but then lenkart not accepting the coupon (which hasn't even been redeemed). This is the second time it's happening - 2 different coupon codes... Really frustrating 😡 & disappointing 😔 experience...",5,
2025-11-24 11:29:51,1,The delivery is very slow. I ordered blue lense eyeglass 10 days ago and it has not arrived yet. It is showing on the way that I have to place a new order again. It has not arrived for 4 days. There should be a contact number of the delivery boy so that we can call and ask when you will arrive.,3,
2025-12-04 02:30:31,2,aop is not opening,2,
2025-12-03 09:03:51,1,My refund is still pending. No way to contact support team worst app. Don't use it .,2,
2025-12-03 08:27:16,1,"waste customer service, no one picks the call",2,
2025-12-03 08:06:43,2,I purchased day night vision eye class spacs from store but fitting is not good and Its sunlight vision is very light.,2,
2025-12-03 06:40:27,1,ghatiya service order cancel ka option do phle,2,
2025-12-01 18:20:16,1,"Extremely poor experience with Lenskart. Bought specs with Bluecut Japanese “anti-scratch” lenses and they got full of scratches in just 4 months. Requested a replacement and they kept saying the frame is out of stock, asked me to choose another one, then even that was “out of stock”. After escalation they finally delivered a replacement frame that looked USED. Shockingly bad quality, zero accountability, terrible customer service. Would never recommend.",2,
2025-11-30 10:04:06,5,superb,2,
2025-11-30 09:07:20,1,Do have costomer are number to interact with ? no the It's a worst service,2,
2025-11-30 08:42:04,1,"very worst service I have visit the store but no one responded saying vitis our bangalore, Bijapur, Belagavi branches",2,
2025-11-30 08:07:36,5,"very good variety, quality and also customer service. Got almost dozen of them and still no worries",2,
2025-11-30 08:00:38,5,Good.,2,
2025-11-30 07:17:23,1,poor service... after sale service..very bad,2,
2025-11-30 03:28:21,5,nice,2,
2025-11-29 14:39:07,5,excellent,2,
2025-11-29 13:58:31,1,this application is froud with a customer I ordered a pair of glasses but received the wrong number and I have an issue in my eyes. but your team is not responding,2,
2025-11-26 14:18:00,1,it was good before but the glass I buy recently is broke after 4-5 times use and when I Just try to contact customer support it leads me to watsapp help that fail to get the option of my order,2,
2025-11-26 00:51:49,2,"I am facing an issue where the system is unable to locate my nearby store and instead shows a distant store. Because of this, I am unable to book an eye test appointment. This problem is occurring repeatedly and causing inconvenience. Kindly assist me in resolving this matter.",2,
2025-11-24 13:14:10,5,"Lenskart agents are very good. If there is any problem with the order, they slove it very nicely and lovingly. And the quality of the lenses is very good.",2,
2025-11-24 07:20:56,1,"The worst and most disgusting experience I've had is with Lenskart. Because I ordered glasses worth ₹1000, and they just sent me the glasses without the proper box or anything else. They are not even providing a service number and are asking irrelevant questions.",2,
2025-12-06 15:38:22,4,best app,1,
2025-12-06 14:46:41,1,VERY VERY POOR SERVICE. REGARDING GLASS CLEANING CLOTH... DELIBERATELY LENSKART IS NOT GIVING GLASS CLEANING CLOTHS OR SELLING IN STORE.. SO CUSTOMER EYEGLASS WILL GET SCRATCH AND THEY GOT SALES INCREASE.. MAXIMUM TIME SAYING OUT OF STOCK. WE HAVE 4 TO 5 POWER EYEGLASS FROM LENSKART .,1,
2025-12-06 14:46:01,5,very good experience,1,
2025-12-06 13:44:23,5,good,1,
2025-12-06 13:13:53,1,"Not at all worried about existing customers, only focussed on new business",1,
2025-12-06 13:10:36,1,Delivery of product is not guaranteed as per commitment,1,
2025-12-06 13:03:56,5,good experience,1,
2025-12-06 12:50:45,5,Good,1,
2025-12-06 12:36:52,1,"worst service ever from a online store. don't even having a proper customer care number for grievance. If you go to Offline showroom, it's even more pathetic. no one will pick your call. I have purchased a frame and when I tried to download it's invoice but generating. anyway they are not giving completion any hardcopy of invoice they should have provide the soft copy. but that is also not available. After purchase they don't care about their customers. service is as low quality as products.",1,
2025-12-06 12:23:55,1,"zero Star for the kind of order service ,delivery services provided. No proper way to directly call the customer care support and also no way to chat over whatsapp as well. Faltu Service. i tried whole day to call them for my delivery on the day, at night called me asking about my address and whereabouts. and finally Even after telling that I won't be available at office for Saturday and Sunday.. visited and delivered my lenskart order. Now I am wondering how to get in or will it be displaced.",1,
2025-12-06 12:11:05,5,fantastic,1,
2025-12-06 10:46:42,5,awsm,1,
2025-12-06 09:28:49,5,Nice,1,
2025-12-06 09:25:48,5,i like it,1,
2025-12-06 09:13:52,3,not the most accurate in terms of logistics and delivery. product wise it's good.,1,
2025-12-06 09:07:06,5,good,1,
2025-12-06 08:55:07,5,nice,1,
2025-12-06 07:44:04,1,"Recently ordered one glass replacement for my frame in seliayur branch,chennai.The delivered glass is of two type one is black and one is white when in sunlight.My friends are laughing when i am wearing the glass.This is the example of unprofessional and untrained standard of work by lenskart professional.If anyone compare this with other shop it is below the professional level of local shop.Better to go to local eye repair shop.",1,
2025-12-06 07:26:35,1,"Too much expensive, also doing FRAUD sofisticated Ways",1,
2025-12-06 06:31:12,1,"scam app, I am trying to exchange my spectacle but it's not letting me do it, bot app and website on browser hangs. pathetic company.",1,
2025-12-06 06:28:26,5,best service I've ever received. thank you lenskart 5th mile dimapur team.,1,
2025-12-06 06:19:10,4,very good,1,
2025-12-06 06:07:43,1,"why this app is not working in my moto edge 50 fusion, and also it's showing"" recent data form similar devices shows that that app may not work in your smartphone"" it's really not working",1,
2025-12-06 05:42:15,5,good,1,
2025-12-06 05:38:04,1,Delivery is not at time.,1,
2025-12-06 03:24:53,1,affordable items are always out of stock intentionally,1,
2025-12-06 03:07:29,2,Power selection of glasses not accurate... After getting our glasses not upto the mark progressive lenses we got.,1,
2025-12-05 18:16:21,1,I haven't bought your products yet but the amount and intensity of negative comments force me to not choose you.,1,
2025-12-05 17:44:21,5,best experience while buying and quality was good,1,
2025-12-05 16:56:21,1,not giving eyeglasses cleansing cloth how to clean without cloth... from Hyderabad Telangana neredmet branch,1,
2025-12-05 16:53:22,1,my money have not credited nor I received the item order,1,
2025-12-05 16:34:41,2,Not good as advertised. Cheap quality material and easily scratchable glasses. Store persons are also liars. Better to buy from local offline stores,1,
2025-12-05 16:07:23,1,"The lenses are of the worst quality. I've been wearing glasses for 13 years, and I've never seen such awful and poor quality lenses. They charge a lot, and the lenses are so poor they turn yellow within three months.",1,
2025-12-05 15:42:06,5,🅖︎🅞︎🅞︎🅓︎ 🅔︎🅧︎🅟︎E🅡︎🅘︎🅔︎🅝︎🅒︎🅔︎,1,
2025-12-05 15:03:15,5,Awesome 👍😎,1,
2025-12-05 14:34:40,5,very nice,1,
2025-12-05 13:52:10,5,"Lenskart singapore is exceptional, especially the yishun branch simply because of Trevor the best technician from lenskart. He possesses mastery of his craft which is a rare sight these days. Thank you lenskart! Best app experience ever.",1,
2025-12-05 13:16:09,4,nice,1,
2025-12-05 12:40:50,1,worst service didn't get my order its more than 15 days,1,
2025-12-05 11:29:32,1,worst service,1,
2025-12-05 11:07:42,1,totally fraud offer.. never visit lenskart,1,
