date,rating,review_text,thumbs_up_count,title
2024-02-08 07:06:36,5,Uprating to five stars after an issue I messaged support and got Vivek who promptly fixed it and got it up and running in 10 minutes or less. Love the app love the support!,77,
2024-10-01 08:41:28,1,"They charged my card even though I cancel my subscription before the trial period ends and I asked for a dispute but they ignored my emails. Downloaded the app for the reason that hoping they have what I need on editing but clearly they don't have it. That's why I canceled and deleted the app. But to my surprise,they still charge me for it. If you want to be scammed, download this app.",69,
2024-01-08 23:31:20,5,"Luv this app. It works exactly as described but way better than expected! I can edit, erase & create beautiful photos with very little effort. I would definitely recommend this app!",49,
2023-07-19 23:29:29,1,I do not know this for sure but it never should feel like this to a normal or adv IT person period on the user end and that whole login situation u got goin on rt at the beginning don't feel right to me & I've done IT for the state for atleast 15+ yrs I can't say for sure but it shouldn't feel that way period it feels terribly phishy but u got me clicking links inside frames before I even see the app none of which open in my browser it's all just bad BAD to DO NOT PROCEED FLASHING RED LIGHTS 🤖,37,
2023-09-05 14:54:23,1,I has a issue.Eventhough I gave permission to access photo and videos and gallery it still says access to magic studio.,32,
2023-06-30 12:24:15,4,magic studio is awesome it will help you remove unwanted parts of your picture but my only challenge is that it doesn't have so e background suggestions maybe you might intend to change the background of the but aside from that is very awesome 👍,29,
2024-05-05 09:10:54,1,"My photos were clear, and the app decreased the quality of the image. I would imagine so you have to buy the premium version to enhance the image? I didn't bother going further.",25,
2024-08-19 00:01:47,1,"Oh dear. No login or payment required on the web version, yet the app immediately asks you to login. So you skip that and it says that'll be £90.00 please. It's not worth 90p. I asked for Worcester Cathedral in the style of Van Gogh. I was presented with a nice image of a cathedral but it wasnt Worcester and it wasn't in the style of Van Gogh. So basically all you get is a Google search.",22,
2024-04-29 15:50:08,5,it's so beautiful but the only problem I have with it is the trade mark below the photos which is not proper 😔 but apart from that everything is so cool,14,
2023-04-08 05:02:09,1,looks suspicious. need to enter your email and need to confirm via a link... hmmmm...,13,
2025-03-12 18:04:37,1,"The 'free trial' is a scam. Regardless of never purchasing anything and deleting my account long before the trial was up, they still charge you and then ignore any requests. Only download if you're ready to buy.",12,
2024-11-16 04:15:04,5,highly affordable and fast image generator. lots of options,11,
2024-12-25 19:11:56,1,Worst ever. I wanted to use it on browser but it's literally forced me to download. After the download there is no useful free tools to use. And i didn't see anything really special to buy and use. While others are providing good service with no payment it's asking me to buy and forced to download the app? Sucks!,7,
2024-02-10 17:15:14,1,Worst app I have ever seen when I installed it it was working nicely but when I was just editing my photo my mobile was just hacked 😭 app was not deleting untill I removed the permission from this app. I don't recommend this app,6,
2023-08-08 22:15:33,3,"Really good job of cleaning up a photo, but $60 a year? Ugh... NO",6,
2023-04-24 20:25:22,1,I enter the app -> asks me if I allow it to access my gallery -> I say no -> click on upload image -> it access my gallery -> uninstall.,6,
2025-04-11 23:16:40,1,useless that you cannot upload and generate from existing photos,5,
2023-07-08 19:21:41,5,This app is awesome it's the best ai eraser app ever ! It have remove background thing too they all work so good!,5,
2023-06-29 20:23:35,5,this app is fantastic it removes all the background objects. I really like it,5,
2023-03-17 08:05:44,5,Very helpful apps for me because it goods for editing and can remove unwanted picture.,5,
2024-09-22 12:39:23,1,It says free but you can't try anything till you enter your credit card information,4,
2024-03-26 09:08:38,1,Each time I open the app it tells me to restart it that it has a glitch.Please fix this please,4,
2023-04-28 21:51:54,1,App is garbage. Only has magic eraser. It has no AI systems. It's a fake app,4,
2025-04-06 05:30:40,1,Only paid plans. No way to try it out first without subscribing. 👎,3,
2024-12-20 14:51:43,1,"Too slow regenerating when reach 95% and ""something went wrong "" appears on the bottom",3,
2024-10-04 04:15:58,1,Horrible...def not worth $60. Pictures not even close to drawing what I describe. Save your money. I was burned.,3,
2024-05-19 21:13:54,1,Another money hunger app. Not worth it I can do better. Not many selections and not well put together,3,
2024-02-17 04:15:09,5,My goood this ap is awosem because the details but one problem is why premium version ahagah hoooooo lan 💀 ⚠️ MERA,3,
2023-05-14 12:44:41,1,Everything is paid.. not a free app,3,
2023-02-18 14:00:57,5,Very easy to erase background from any image.,3,
2025-05-14 10:13:07,3,woked fine at first but now keeps crashing,2,
2025-01-21 20:54:15,1,Not a free app as advertised. Don't waste your time.,2,
2024-10-30 07:03:37,5,Magic Studio really made my jobe easier .,2,
2024-07-09 12:17:03,1,not the best AI app I have used not much you can do on it without being forced to pay for it I'll just use the website version it is better so it is 1 star from me sorry,2,
2024-06-29 04:18:40,5,"I could not be happier with the magic eraser!!! Free & works beautifully & quickly? Incredible!!! Highly, highly, highly recommend!!!!!! 'Magic' truly is what it is, no cap! Thank you Magic Studio!!",2,
