date,rating,review_text,thumbs_up_count,title
2025-11-25 16:32:20,5,"I have been using meesho for more than 2 years and I am satisfied with the products received. Even though I face small issues in size of some dresses, overall looking it's so good. Just the delivery takes more time than other shopping apps. It will be good if you add more more suggestions for accessories. Overall satisfied with the product",1498,
2025-11-26 04:27:46,1,"I am extremely disappointed with the repeated failure of your delivery service. I placed an order for several items, but once again the delivery attempt was marked as ""failed"" even though no one rang my doorbell, and the package never reached my doorstep. This is not an isolated incident every order I have placed in the past few weeks has faced the exact same problem: delivery attempts are falsely marked as failed, no proper contact is made, and eventually the orders gets cancelled.",1466,
2025-11-21 08:05:21,1,"Worst app, literally, the worst app.You should never use it.You can actually never use it there's so cunning like what they would do if you haven't put your address in that app, they would show the product with very less price. And once you put your address there, the prices will increase drastically like twice what they were before, if somehow you order at the less price, the price which was before adding the address they wouldn't deliver it saying that it was a delivery issue with no calls.",707,
2025-11-23 03:21:50,1,"I am extremely disappointed with the repeated failure of your delivery service. I placed an order for several items, but once again the delivery attempt was marked as “failed” even though no one rang my doorbell, and the package never reached my doorstep. This is not an isolated incident — almost every order I have placed in the past few weeks has faced the exact same problem: delivery attempts are falsely marked as failed, no proper contact is made, and eventually the orders gets cancelled.",644,
2025-11-21 09:29:51,5,"Best app for online purchases. Returns are easy and quick. I would like meesho staff to give more details about the product, like colour, size, weight, material and size chart. Many sellers have posted fake details. With this correction, I am sure many buyers from other apps will shift over to meesho. Also please add more branded products.",612,
2025-11-21 11:33:03,5,"Meesho is a very good and outstanding shopping app. The product quality is impressive and the prices are very affordable. Delivery is fast, packaging is safe, and the return process is also easy. The app is simple to use, and there are a lot of options in clothing, accessories, home items, and more. Overall, Meesho is a great app for budget-friendly and reliable shopping. Highly recommended! 100",568,
2025-11-28 16:01:13,5,"Meesho has become my favourite online shopping app! Prices are unbeatable, quality is reliable, and there is a huge variety of products to choose from. Delivery is fast, packaging is neat, and the return/refund process is hassle-free. What I love the most is how easy it is to track orders and shop quickly without confusion. Excellent app performance,smooth UI,and trustworthy service. Great job Meesho team—keep it up! Highly recommended for everyone who loves budget-friendly and quality shopping.",477,
2025-11-28 05:43:01,1,"I honestly don’t understand how Meesho is still functioning as a shopping platform. My experience has been nothing short of a nightmare. The quality of the products I received was absolutely horrible — nothing like the pictures shown. It felt like I paid for one thing and got a completely different, cheaper version of it. Customer support was equally disappointing. Getting help was almost impossible, and when I finally did, the responses were slow, unhelpful, and robotic. The return process was",445,
2025-11-24 11:47:44,1,"I am a regular customer of Meesho. I always do online shopping with messho. Their service and customer support is so poor. last time I placed an order with pay later option after receiving the product, I am trying to clear the dues(Rs.156/-) but it always says (please try again later) and I am getting daily whatsapp messages for due and legal process. Customer support is nothing. They clearly said we can't do anything. Meesho like this you will lose your valuable customer.",299,
2025-11-26 01:45:40,1,"I am extremely disappointed with the service. I placed a prepaid order on 14th November, and even after many days, the delivery has been unnecessarily delayed. The tracking has been stuck for a long time, and there is no proper update from the courier or the Meesho team.Even after raising multiple complaints, the only response I receive is that the issue has been ""escalated,"" but no real action is taken. There is no confirmed delivery date, no transparency, and no accountability from the team.",97,
