date,rating,review_text,thumbs_up_count,title
2026-03-28 06:17:10,1,"On the listing day, the stock was not visible on the Groww app for around 10 minutes after it went live on the exchange. During the same time, it was available for trading on other brokerage platforms. This delay prevented me from entering at my intended price. For active traders, even a few minutes matter. I hope necessary improvements are made to avoid such delays in future listings.",828,
2026-03-17 03:07:57,2,"All-time low to high range should be mentioned along with the day and 52-week price ranges. Also, the category of the company, such as large-cap, mid-cap, or small-cap, should be clearly specified along with the stock name for better clarity.",56,
2026-03-24 15:05:10,5,"Excellent app. Kindly give Bull bear power indicator, break down screener (S1,2,3,4,5) similar to breakout screener. Also long shot tool in groww's own chart.",23,
2026-03-23 01:21:17,1,Please refer ETmoney you v/s market feature add something like that to understand how our mutual fund portfolio performing compared to market.. show comparison in returns and rankings with benchmark in addition to category average!!!. The MF stock portfolio doesn't get refreshed in time!!! each mutual fund performance should be seen over team just like portfolio line chart!! #update : *ticket number is 25372237.*,21,
2026-03-25 06:17:55,1,they have made Groww useless app !! there is no other way to sell your stocks in GTT order other than DDPI which I don't want to use. they are making user pay for that too !!,18,
2026-03-24 10:06:57,1,I am very upset with customer support whose delay has resulted in financial loss to me. My Groww app hanged from 2.30pm onwards today while I was trying to redeem mutual funds. I tried relogging but it didn't help. I immediately called customer care but after 5-6 minutes the executive just stopped talking to me and transferred my call to IVR. I opened Customer Support chat at 2.46 pm but they could resolve my issue by 3.10pm by then I lost opportunity to get today's NAV for no fault of mine.,17,
2026-03-19 11:09:07,1,Multiple Charts should be available in charts for option trading......also profit - lose showing in charts,12,
2026-03-23 12:31:36,5,"I love groww .just one feedback,Can you show 1 month,1 year,3 year,5year, and all time graph of global indices . this is a feedback",7,
2026-03-20 02:58:06,3,Protect profit trigger not working for equity f&o in groww app and for commodity both loss trigger and profit trigger options not at all available kindly enable it as soon as possible,4,
2026-03-19 03:50:54,1,profit trade me application hang hota h. don't trust too much on groww Your option brokerage charges are too high. Application also lagging in profit trades. Unfortunately i have to look for another trading Application.,4,
2026-03-17 10:12:08,5,"superb app but sometimes(in fact many times) the order limit price doesn't reflect in order, I think we need to refresh multiple times and many times we need to close the app and again need to start to see the modify price, please improve this, In fact the game is all about ordering. Thank you.",4,
2026-03-17 02:16:15,1,"there is no way to use stop loss it will never work . some times you want to exit from trade , exit button will not work till that your earning will completely lost. Groww will give you execuse that it's a exchange issue . if doing trade on mcx than you will never hold profile , your order automatically placed against movement so that you lost big amount.",4,
2026-03-28 04:22:05,4,"Suggestion: About adding Widget Dear Developer, if you add this feature widget in the app the user may be very helpful and make interest in Groww App. Scrolling Stock Price Bar Widget 1) In this widget user can add his favourite Stocks/ETF/Fund etc to show its live price 2) The widget may be fully customizable like font, Bar position, colour, Scrolling speed, Size of bar, Background color or transparent. 3)The widget may shown on anywhere in screen or lock screen or both it may be optional.",3,
2026-03-21 15:07:47,5,all time better. But charges is hiding on buying time. I think should be a unique page of charges and taxes and also visible in home page at any icon.,3,
2026-03-20 09:40:24,1,"I am using this app for a very long time, for last few months they are not updating the total external and internal funds just showing that we will be back with new update. I think they have slowly wiped off this facility for the customers but they are not disclosing it. Poor experience",3,
2026-03-19 07:52:30,5,"Groww is one of the best investment apps for beginners and professionals. The interface is very simple and user-friendly, making investing easy and smooth. I really like the zero-commission mutual funds and fast performance. It offers everything from stocks to SIP in one place. Highly recommended app for anyone who wants to grow their money smartly!",3,
2026-03-19 05:25:48,1,"Earlier, this app worked fine, but over the last month, it has become very unreliable. Withdrawing money is not as easy as it used to be — most of the time, my withdrawal requests get auto-declined without any clear reason. There’s no response from customer care, and the issue remains unresolved. Very disappointing experience lately. Not recommended until they fix these problems.",3,
2026-03-18 08:40:50,1,Not a reliable app for trading because of discrepancies/delays encountered during selling & buying stocks. Also high external charges & taxes charged by Groww apart from their brokerage charges. Upstox or Zerodha are far better than Groww!!,3,
2026-03-18 03:44:01,5,I'm using this app since last 1 year and I found it very easy to use. With every update the app introduces simple and minimalistic new details to understand market better.,3,
2026-03-17 05:58:13,5,Great app. love it and the annual t shirts. need a full time screener. dont mind paying a monthly fee for screener but it should give value suggestions.,3,
2026-03-25 05:33:12,1,"No charts, indicators, session break, layout setting on the website. No option to save dark and light mode. No sorting option in the watchlist. No fast login option on the website. Switching option can be given for terminal and charts. Mobile app is best in segments. But over the website it's very time unfriendly.",2,
2026-03-25 04:40:54,1,"worst app, very high brokerage, and also very worst in order execution , I cancel my order before execution but still that order is executed, worst highly not recommended",2,
2026-03-21 18:03:45,1,"fund refresh has been paused since last month, it's so sad that I've been carrying this app for more than 3 years in my phone, and now this issue. Time to remove?",2,
2026-03-20 13:57:03,4,"app deserves 5 stars for its user friendly interface, because there's no bond market viewing and trading, and still we can buy bonds feels that something is lacking, please update this issue soon.",2,
