date,rating,review_text,thumbs_up_count,title
2025-11-25 09:46:19,1,"Ola is becoming the worst app ever for cabs. Always facing issue during online payment via credit card. After journey started, they provide us only 15-20 mins to pay via card and it's not even work. Even though your ride is about 2 hrs longer, but after 30 min their message started popping up like 'you cannot pay online because your ride is about to end, you have to pay in cash'. Always facing server down issues during online payment, i always have to pay in cash. Worst worat app.",45,
2025-11-23 15:07:46,1,"Very disappointed with this ride. When I booked, the fare shown was ₹1235 and there was absolutely no mention anywhere that extra toll charges would be added later. Suddenly the final bill became ₹1782 with toll and other charges. This is completely misleading and unfair. Apps like Rapido clearly show the full amount and charge exactly what is displayed, including tolls. Terrible and frustrating experience — will think twice before using this service again.",19,
2025-11-22 03:18:28,1,As pathetic as any app could be..... It has happened with me for straight two times that I've booked a cab for a location and the app automatically changes my location. You have to then negotiate with the driver at a higher price to drop off at the required location. Suggest OLA to hire some good engineers and fix this bug. For me it's done.. Never going back to OLA again also when the competitors provide much better service and better price. Do not use this app ever,11,
2025-11-26 13:01:38,1,the ride price after booking and after the ride is completed is never the same. also on trying to rise payment issue it always says there is no change in the ride price. also for additional support it asks to send mail.. why bother with any help in the app if you are handling via mail. only additional unnecessary work and waste of our time. There are much better ride apps with far better in-app service than this.,3,
2025-11-22 15:47:30,1,"I had a very bad experience with Ola recently. We booked an auto,and somehow the location changed after about 10 minutes into the ride. When we asked the driver why we were heading in the wrong direction, he said, We can go this way also. But in the end, he dropped us 3–4 km away in the opposite direction. The fare was ₹252 just for those 3–4 km. Moreover, we couldn’t raise a proper complaint in the app.Whenever we try to report the issue, the only response we receive is Thanks for feedback",1,
2025-11-28 04:38:08,1,"there is no customer care support , only a few predefined information. Now a days not allowing to pay directly from credit card, always showing payment failed, and it is allowing only ola money, and while clearing ola moneay due they are charging extra fee, for collecting extra charges they are not allowing to pay directly. when we book a later scheduled ride, the maximum it is canceled after reaching ride time. Actually, it should book another ride. charges also varying person to person.",1,
2025-11-30 10:44:28,1,Worst Booking experience. Third Class drivers appointed for accepting Booking. I missed my flight due to ola booking done on dated 30.11.2025. Driver accepted my booking for Mumbai Airport from Navi Mumbai after acceptance driver was 6 mins away from pickup location but to my surprise driver instead of coming to location he went away from pickup location. I called him 3-4 times but neither picked up my calls nor cancelled trip so that I can able to book another trip. I missed my flight,1,
2025-11-21 15:47:47,1,"The bill amount was ₹285 which I got to know later. The driver stopped the car, saying he needed to refill CNG and would not continue the ride. I told him it wasn’t my fault and that he shouldn’t have accepted the ride if he couldn’t complete it. He then took the estimated amount shown on the app, ₹486, instead of the actual bill amount of ₹287. I reached out to help section and they refused to help or refund my money. I sent email to grievance attaching the UPI screenshot and CRN details",0,
2025-11-21 17:51:27,1,"I am facing an issue with my Ola account linked to my phone number. It appears that the number was previously associated with someone else, and a cancellation fee of ₹125—incurred by the previous user—has been added to my account. This charge is not mine, yet it is still showing as payable. I also tried to delete or deactivate the account associated with my number but was unable to do so. Please help resolve this issue by removing the incorrect cancellation fee and ensuring my number i",0,
2025-11-22 03:07:27,2,"Unable to pay the postpaid amount through app... not able to see ""Clear Dues"" option. App team please check this issue. I should not get charged any penalty for late payment. I am ready to pay my invoice...",0,
2025-11-22 11:33:08,1,"Super fraudster company, the driver charged me the parking fee additionally and the same was already included in the bill, when I highlighted the issue over the email to Ola, they assured me of a refund and asked me for my UPI id. I have given all the details and have been following up on the same email for the last two months but neither I received any reply nor my refund. No wonder the company is making a loss and the share value is also decreasing.",0,
2025-11-22 16:17:57,1,They fool the customers by adding insurance charges of Rs. 11( 8+3) per trip towards insurance and health packs. You will never find such charges while booking. Always check the invoice. Also you won't get a ride unless you add the tips. They have recently added this feature. I am deleting the App.,0,
