date,rating,review_text,thumbs_up_count,title
2025-11-25 13:46:45,4,"In today’s digital era, PhonePe has been very helpful for me. I am satisfied with its services such as on-time payments, successful transactions even in low network conditions, instant transaction alerts, and especially the security alerts for unknown or potentially fraudulent payment parties. However, along with these useful features, I have also faced some issues. Even after long-term usage, I do not receive cashback or reward bonuses. Phone verification is often required again while accessis",2306,
2025-11-28 12:20:17,5,"Ireally appreciate this app, but I think it would be great if it had a separate savings feature. This would allow users, especially students, to set aside money for future use, keeping it separate from their spending money. Currently, it's easy to spend all our money on payments, leaving nothing for savings. A dedicated savings option would be a wonderful addition to the app.",841,
2025-11-23 10:15:23,5,"""PhonePe is a fantastic app for all my payment needs. The interface is simple, transactions are quick and seamless, and I love the [mention a specific feature like cashback, bill payments, etc.] it offers. Highly recommended for hassle-free digital payments!""",424,
2025-12-01 14:56:57,5,I've been using this app for more than an year. Both receiving and payment takes place smoothly. It helps me to pay exact money to the shop keeper without buying chocolates for changes. It actually stopped me going to ATM. It also helps me in my businesses.,98,
2025-11-22 14:27:16,2,"Reason why phonepe se not my default app- Cons: -Delay notification (Already reported several times but not fixed yet I don't want to receive payment notification after 24 hours after the actual time), Lack of cashback as compared to Amazon pay, Useless voucher, Need improvement in payment history Pros: -Clean UI as compared to other UPI apps, Customisation of UPI ID",80,
2025-11-23 19:42:06,1,"I have made a payment first then it shows the payment is pending then I again done a payment and then after the another payment succeed and after some time the previous one also succeed , and the receiver says he didn't receive the payment twice I lost my amount , that's why I am uninstalling this application . please go for paytm or gpay rather than this",54,
2025-11-30 17:07:41,5,"After a long time, I was able to log in to my PhonePe account, and it is functioning smoothly at present. However, during transactions, it is taking a very long time to complete. Kindly look into this issue and rectify the problem. Apart from this, I have not noticed any other issues. Thank you very much to Phonepe for solved my login issue.",53,
2025-11-27 04:40:40,1,"My issue still exists even after multiple attempts to resolve it. It has been over a week and the bank account activation error is still not fixed. Customer care is unhelpful — no option to connect with an executive, only product promotions. Very disappointing experience.",30,
2025-11-27 19:22:51,1,"📣Not easy as it was before,lots of things in one app making it complex to use. 📢Payment app should be payment app nothing else 1.Not user friendly at all🆘 2.Missing features, 💳Tap to Pay NFC support(very needed option) 📃 Transaction details are very complex,hard to identify what the transition made for. 3.Keep it minimalist guys Move all other promotional things and add ons to other app As u say, no.1 payment app should be for payments only right 😀",28,
2025-11-23 07:10:42,2,"I’m facing a serious issue with my PhonePe login/reset process. Whenever I enter my password, the app says it’s incorrect. When I try to reset it, the reset works, but after creating a new password, the app again says the password is wrong. I’ve tried multiple times, but the same problem continues. Please help me understand why the password is not being accepted even after a successful reset. I need this resolved so I can access my account normally.",26,
