date,rating,review_text,thumbs_up_count,title
2025-12-20 16:19:55,1,"WORST customer care. Toughest job to return an item even there is a return policy of the product. I request people who buy the things from pop, ""Buy only if you will not going to return. They will not return easily."" I have returned two items of same order at the same time. One picked up and other yet not picked up after more than a week. Even though i habe attached all the photos. They will ask for additional form to fill return after doing all these. 👎👎👎👎👎👎👎👎👎👎👎",53,
2025-12-13 13:08:02,1,"Scam platform. be aware if you shop from it. When you try to return they will come up most with the most ridiculous reasons to not pick it up. After 2 qwwks of delivery they were asking me the shipping label. I showed them the item with all the label attached, I ahowed them the box. They kept asking for the shipping label. Stay away! I was a frequent buyer from the platform, ao glad this came to light quite early! Lesson learnt!",24,
2025-12-13 20:13:52,1,I requested to not send any messages on WhatsApp and still they keep spamming. I mean this shiuld be basic to nor invade privacy.,22,
2025-12-23 10:00:45,1,"don't shop from pop shop and upi app until they give the option of invoice in app because you can not claim warranty without the invoice, i want invoice of my orders, but i am not able to download these invoices because they haven't added this feature, thats why i can't give the 5 star to this app, they are not even giving the invoices on email account, i don't",21,
2025-12-22 17:39:43,5,Linking my RuPay card was instant. I have already earned Rs. 300 cashback in a few days of shopping and payments.,21,
2025-12-17 09:45:37,1,"Extremely poor experience. Transactions frequently get declined after the money has already been debited from my account, which is completely unacceptable and stressful. Getting refunds takes too long, if they happen at all. On top of that, customer support is unresponsive and unhelpful, offering no real solutions. This app is unreliable and not trustworthy for handling financial transactions. I strongly recommend avoiding it until these serious issues are fixed.",16,
2025-12-20 12:06:43,3,"Just another UPI app with a virtual thrift store where you can save a little with the reward coins. Currently it offers only UPI payments and doesn't offer the recharge and utility bill payments. If they continue to provide reward coins at the current phase which could be redeemed for utility payments later, then only it will be best in their segment",7,
2025-12-16 17:35:21,5,wide product selection from many good brands,7,
2025-12-16 16:39:47,5,"rewards on all spends is fantastic, I like this app",7,
2025-12-22 16:59:49,5,I redeemed 800 POPcoins for buying a shirt from snitch.,6,
2025-12-21 05:58:50,4,All products is very bed quality and also not working in a month. So please no one buy from popcoin shop. It's my hummable request and it's support team also reply on mails only. So they use fake comments.,6,
2025-12-17 14:02:01,5,popcoins on upi is very useful feature for savings,6,
2025-12-22 17:44:57,5,fast payments on upi and got popcoins on popshop,5,
2025-12-22 17:11:20,5,useful app for daily payments and shopping,5,
2025-12-17 16:41:03,5,quick payments done and got rewards instantly,5,
2025-12-15 04:07:03,2,App interface is good and fast. 1. limited points and are not seems useful because you can only redeem on products listed in their app (which are already at same price without using popcoins on amazon flipkart) so no use of popcoin in this case. I recommended to launch them bill payments system and allow user to redeem atleast 25% value of pop coins in bill recharge payment or same for merchant payments. 2. no search option in the transaction history,5,
2025-12-13 14:42:33,5,i use 1000 POPcoins for maximum discount on my shopping!,5,
2025-12-12 17:33:33,5,got good quality shoes low price and wide selection,5,
2025-12-11 16:30:26,5,delivery on time and the package came good. return was no problem very easy process,5,
2025-12-22 18:07:37,5,ordered headphones from Portronics and got 50% discount,4,
2025-12-22 15:21:06,5,I am very satisfied with the 5% cashback feature. Using my RuPay card makes this the most rewarding app ever for me.,4,
2025-12-22 14:28:21,5,I get a consistent Rs. 10 cashback whenever I use my RuPay card on the POP UPI app. Very efficient system.,4,
2025-12-22 13:16:13,5,fast delivery got my kurti in 4 days only,4,
2025-12-21 17:47:14,5,fast delivery 4 days ordered tshirts,4,
2025-12-20 11:19:35,5,used 400 popcoins for buying snitch shirts,4,
2025-12-20 10:59:42,5,quick payment and fast delivery on all orders,4,
2025-12-17 16:35:56,5,popcoins on popshop can be used for big discounts,4,
2025-12-17 15:14:09,5,online payment app with best shopping experience,4,
2025-12-17 11:29:40,5,used 800 popcoins for shoes discount got it very cheap,4,
2025-12-13 04:09:07,1,"""Disappointing experience with POP UPI—every time I navigate to the Shop section, the screen goes completely black and crashes the app. I've tried restarting, clearing cache, and updating, but no luck. As a regular UPI user, this is a major roadblock for seamless shopping and payments 🥺😓😥",4,
2025-12-12 17:30:46,5,I got a heavy discount on Polo tshirts deal of the day was great,4,
2025-12-23 14:12:19,5,send money and shopping app is useful for daily rewards,3,
2025-12-23 11:59:08,5,facewash ordered from the man company got fast delivery,3,
2025-12-22 17:15:32,5,popcoins on popshop used for discount,3,
2025-12-22 16:32:51,5,got 25% discount on moisturizer from bombay shaving company,3,
2025-12-22 15:36:07,5,daily popcoins earning is best part of this app,3,
2025-12-22 14:41:30,5,ordered usb cable from portronics low price,3,
2025-12-22 12:27:33,5,scan and pay working good and getting rewards,3,
2025-12-21 11:42:01,5,popcoins discount on shopping useful,3,
2025-12-20 10:39:50,5,popcoins utility is very good for shoppers,3,
2025-12-17 18:08:45,5,I’ve accumulated steady cashback by paying everything via RuPay card.,3,
2025-12-17 18:06:40,5,Linking my RuPay card was seamless and I am already earning Rs. 20 on every transaction. Incredible rewards.,3,
2025-12-17 17:59:02,5,got 35% discount on kurti from Snitch very nice,3,
2025-12-17 17:49:59,5,bahut achha app hai daily popcoins milte hai shopping ke liye,3,
2025-12-17 17:20:53,5,ordered kurti got big discount using popcoins reward,3,
2025-12-17 17:01:27,5,ordered polo tshirt from Souled Store quality is good,3,
2025-12-17 16:47:49,5,Cashback tracking is clear and reliable for RuPay card transactions here.,3,
2025-12-17 16:44:54,5,Reached Rs. 600 cashback this month easily using only my RuPay card.,3,
2025-12-17 16:32:25,5,wide selection of brands like Snitch and Noise good app,3,
2025-12-17 16:31:17,5,online upi payment is very fast no problem faced,3,
