date,rating,review_text,thumbs_up_count,title
2026-03-27 19:26:48,5,"Whenever I request a ride keeping payment mode as Paytm it doesn't fetch a 
cab instead asks to change the payment mode to cash and to try again",706,
2026-03-25 06:45:49,1,"these people and their drivers are inhuman. They won't accept rides even when there are 10 vehicles around coz they need extra money. U need to add extra money for them to accept rides. they're used to extra money without working. pathetic.... worst part is drivers cancel rides even after calling and them assuring they would come for pick up. inhumans, they're just playing with the system and uber does not do anything.... really pathetic.... really unacceptable...",242,
2026-03-25 07:04:06,5,Good service!,169,
2026-03-21 22:42:00,2,"I travelled 2 days ago, the and the app was fine. This morning it can't recognise my device and restarting the app asking for password is way beyond providing a service. Why do you make user's life so difficult? Aren't we paying you enough?",30,
2026-03-21 00:08:54,1,"Uber ride and Eats side is horrible as well. Doesn't keep profile payment setting to use when charging. Sometimes incorrectly uses my Uber cash on Uber one credits even tho set to not use. Missed orders, super late orders, miss charges unauthorized, support is horrible. Another issue is that it doesn't seem to have updated business addresses. Lyft usually is updated but Uber had the company showing still at their old address. They moved but years ago. This happens a bunch.",19,
2026-03-29 17:52:18,5,"Uber is the best app with quality drivers, accurate navigation. I have used all the apps and the drivers are mostly not safe. Uber also values our opinion & feedback. The feedback is reviewed in a minute and the actions are taken. Eg Once driver pick up location was wrong so I told them in feedback responsed and took good action. Even if we are not at the pick up location driver calls & waits for a minute also bike rid are affordable price and convient. The safest app compared to others. ❤️",13,
2026-03-27 03:48:15,5,so far good experience. hospitable drivers and convenient service!,12,
2026-03-29 08:19:33,2,"Just fed up of this app pushing unnecessary notifications (i.e. forcing to sell other product) onto my phone. They seem to have exploited a loophole for spamming but don't worry, continue Uber as you are, because the useless ICO that has been setup to crackdown on such behaviour will not do a thing.",10,
2026-03-29 05:03:34,1,"At times when needed, it is really hard to book a cab. It takes more than half an hour and even one hour to book a cab.",10,
2026-03-28 20:15:10,1,"It used to be excellent and reliable, not anymore",10,
2026-03-29 16:32:03,5,You should have an option to book for another hour... not only ASAP.,8,
2026-03-28 08:40:54,1,Just another useless app,8,
2026-03-30 19:39:29,2,"La última ocasión me cobró la aplicación 30% más sobre la estimación inicial del viaje y al momento de calificar, en lugar de mostrar la tarifa actualizada, vuelve a mostrar la estimación inicial, lo cual influyó en mi decisión de dejar una propina que mejor hubiera evitado.",7,
