date,rating,review_text,thumbs_up_count,title
2025-11-23 02:43:17,5,"You are rolling out the reactions to messages feature, which is good. Could you please introduce the Double Tap feature too, like in Instagram? It is much needed. Also, it would be great if you keep the ""Disappearing Messages"" customisable for both the parties. One should be able to keep the feature off for themselves while the other one keeps it on for him/her and vice versa. Also the duration for the same should be customisable as per preference",248980,
2025-09-27 12:17:39,1,"the sound of clicking and sending voice notes got activated automatically after an update and there is no way to turn it down. Me and thousands more are getting crazy on the Internet, there is no way to solve it!!!! I have had my phone on vibrate for many years, no joke, I haven't had the sound activated in years, and it still makes sounds. even if I put it in silence mode where everything is muted, it still makes these sounds!! conversation tones are off and the app still makes the sounds!!",160474,
2025-10-06 15:19:04,3,"WhatsApp is by far the best messaging app. The only issues are: 1) we can no longer tell when audios are heard by receiver (not sure if theme color affects, but this is a big deal) 2) Info and copy options r in a menu instead of shortcut button at top (along w/reply etc), even though there's still space for it. Makes it inconvenient considering how often those features r used. 3) It would b MUCH better if the read/played time was a timestamp, instead of how long ago, so we don't have to the math",86586,
2025-09-30 15:38:50,1,"The previous versions of whatsapp were far better than this new version. Sharing and forwarding media was easier before. Before, it took only one time data to download something and forwarding didn't require much data. But now a days if you download something, then it takes a lot of time and data, also it doesn't get forwarded easily, when you try to do so, the media is downloaded again and takes up too much time. It's really irritating.",83327,
2025-10-13 13:12:28,5,"The previous versions of whatsapp were far better than this new version. Sharing and forwarding media was easier before. Before, it took only one time data to download something and forwarding didn't require much data. But now a days if you download something, then it takes a lot of time and data, also it doesn't get forwarded easily, when you try to do so, the media is downloaded again and takes up too much time. It's really irritating. thanks for watching you 🙏✅👍",83035,
2025-10-30 15:50:17,4,"I like the app, but something about searching for music when adding to my status is kind of bothering me. I was wondering if you can make it able for us to search for music with the artist and song name at the same time because when I search for a song it's hard to find it because a lot of songs have a similar name or when I'm searching for an artist but can't find the song because they have too many songs. please improve it.",22231,
2025-09-17 09:24:31,3,"it could be better. For instance, i would like to be able to read all of the mesej that was sent to me. Currently, it works just fine until the person sends me a sticker and makes the message above or below it gets cut off to be able to show me the sticker that the other person sent to me. On the other hand, i want to talk about the quick video feature, i understand that it was supposed to be a ""quick video capture"" but sometimes the way you can't choose to set where the camera will be facing...",18406,
2025-10-03 09:57:34,1,"The new motion photo feature is awful. It now defaults to sending your photos as a motion photo, which is the default for how a lot of phones take picture. Occasionally this might be useful, but 90% of the time it's just going to send the motion of you trying to send the picture and you're not going to remember to switch it off every single time. Should be off by default unless you actively want to send a motion photo which I suspect will be rare, or at least have a setting to choose that.",16274,
2025-09-16 22:10:19,2,"My experience with WhatsApp has been pleasant until very recently. Since the last update, when I share any link in a message, I can no longer add any caption or comment about the link before sharing (unlike before). From now on, I have to edit to insert commentary after sharing to say something about the link. Please fix this issue ASAP. Thanks.",16105,
2025-10-29 02:41:25,1,"Horrible horrible app. one would think that with how advanced technology is, this app should be able to verify quickly when it's you logging into your own acct on your new phone after following all the prompts. I can't log into my acct. it keeps showing me an error code after not being able to verify my phone number! I have done everything. sent mails without response. It's just too basic!",15877,
2025-11-09 15:34:15,4,"I thought I was the only one or its some issue with my phone but no, many have been experiencing notification issues since the new updates. There is only a notification saying, ""you may have new messages"" and then when we open the app, all the messages are received then with their original time stamps when they were actually sent. Also, sending messages is also taking way too much time and the sender only sees a single tick even when you are online in the app. This is causing too many problems.",15786,
2025-11-29 23:06:59,2,"Things were going great. Then I noticed that when someone uploads a status and I reply with a voice note, the reply does not go at all. I am using a Samsung by the way. That is weird because I used to be able to do this quite flawlessly, and I have not changed my device. and voice notes work great in chats, so why can't I send them as replies to statuses now. And now, you have removed the emoji Keyboard when uploading statuses? Why? With every update, you needlessly take something great away.",14919,
2025-11-17 11:06:57,5,"I'm addicted to this app, I barely use any other messaging app, really! While I've always thought it couldn't get any better, the status 'reshare' button is a game changer, but PLEASE! anyone whose button isn't on shouldn't be able to reshare others' post who have turned theirs on. I'm not being petty😂 but people tend to attach insignificant meaning to things. It would be nice also if we could edit animated stickers also. Editing them now, only allows the stickers as images.🙃",10594,
2025-11-19 15:53:49,1,"I've been experiencing issues with sending voice notes to friends ' statuses for over 2 months. When I record and send a voice note, it shows 'sending replies' but never sends, and the chat disappears from my recent chats list which I didn't set any disappearing settings. I've tried updating the app, but the issue persists. Please help me resolve this. Thanks",10468,
2025-10-10 14:03:23,1,"Easy to use and just an amazing app to stay connected and share pictures and videos with everyone! EDIT: down to 1 star after update. Choosing photos to upload is horrible now! It doesn't show all my photos. The drop down menu to select the album sucks too. If I choose to see more, it only shows me 5 ""collections"" It used to be much easier before. I don't know why or how or who approved this but it sucks BAD.",9974,
2025-12-01 09:35:57,5,"it's the Best messaging app I've used... it's safe n easy to use. But in the new update, channels show in the status section. there should be an option to hide/remove that section if we don't need it. Very weird and cringe channels appear in that place. Also loging in WhatsApp on different devices with the same phone number should be possible.",9300,
2025-09-27 15:36:06,3,"It could be better. For instance, I would like to be able to read all of the mesej that was sent to me. Currently, it works just fine until the person sends me a sticker and makes the message above or below it gets cut off to be able to show me the sticker that the other person sent to me. On the other hand, i want to talk about the quick video feature, I understand that it was supposed to be a ""quick video capture "" but sometimes the way you can't choose to set where the camera will be facing.",8915,
2025-10-02 10:43:50,1,"I really do enjoy using WhatsApp. I used it for all business and personal interactions. My issue is the new song feature, why give it to us when you're not going to make it work well. You can't find the original songs, mostly covers and sometimes you select a song to add to a picture you want to post and it refuses to send until you remove the song. it's frustrating. make the song feature like the one on Instagram",7773,
2025-11-15 20:59:51,1,"Removed 'About' and set a timer on it. Forced AI. Ads are about to be introduced. Added 'explore' to follow channels. Questionable privacy. Accidentally saved contacts into 'whatsapp's seperate contact list' which has been introduced for whatever reason, rather than in your phone? good luck deleting that as their own 'help' page is useless. it is turning into a social media website which will benefit from their user's data like other meta products rather than being a simple messaging app.",5798,
2025-09-15 22:47:02,1,"I wish I could turn off the 'updates' and 'communities' tabs as well as the aweful AI. I'll never use that garbage, so please just let me turn it off. I also wish that the chat backups were placed in a hidden folder. Currently my file manager app is cluttered with 'new' backups at the top of my list every day that have no business being there. Other than that, meh app.",5781,
