date,rating,review_text,thumbs_up_count,title
2025-04-30 04:43:53,1,"Such a useless app. The website is not working. The app is not working.. Both don't allow me to login. There is no information on why login is not happening. No grievance redressal. The call helpline doesn't work. People are only sitting there to harass citizens it seems. Please fix the systems and make them citizen friendly. The only error I get is ""Oh no. Something Bad Happened"" What am I supposed to do with that.",179,
2025-10-04 23:14:41,1,"I am consistently encountering an error when trying to access my file using the Passport Seva app. Every time I enter my file number and date of birth, the app displays the message: ""Please try after sometime."" I have attempted this multiple times across different times of the day—morning, afternoon, and evening—but the issue persists. This has caused significant inconvenience and delay. Kindly guide me on how to resolve this issue.",120,
2025-09-19 17:48:57,1,"The app has too many blocker bugs. The user can't even register a new account properly. The OTP takes too long to be sent. If the user is trying to log in after registration, he is getting account not found error. The username input is automatically being taken in CAPS. Is this app designed by a teenager? What is the sense of keeping this app, if it can't work at all. Pathetic work by the developers.",95,
2025-08-06 12:45:53,3,"App looks good but has many issues. 1. Can't type email in the sign-up form — it keeps auto-filling the old one. 2. UI freezes sometimes when loading data after selection. 3. Some buttons don’t respond properly. 4. After sign-in, the back button keeps popping up and the app won’t close — need to force stop. Needs improvement.",64,
2025-04-12 18:50:32,1,A useless app doesn't show the passport application status. (Track application status is not working) Shows appointment available dates but not book on that date. Many bugs The old app was good / website is best to track everything.,48,
2025-06-06 05:38:50,5,"Everything seems fast and seamless just make the UI better and faster! Tip: Take a team of coders and UI designer from Top indian University, it will be a project for them and so on ....",47,
2025-07-24 08:03:22,1,"It cannot be a government app or website, if you don't face hurdles! I already have a login, I have used it multiple times with the earlier website for my passport renewals. And now it does not work with the new website AND app. Message when I try to login is 'something bad has happened.' 😂 that's the funniest error I have ever seen, LOL!",44,
2025-06-23 13:32:57,1,"This passport application is very bad. The customer does not get any good benefit. Many things are not working. Especially the payment area is not working at all. Right now I want to process payment for my two applications. But nothing happens, there are many problems. Ever since the new website has come, there are more problems. There is no problem with Facebook, Instagram or any other app in the world, but this passport is so important, this is its condition, its makers should think about it.",44,
2025-08-11 17:18:44,1,"Surprising how a government portal app, especially one that will be used yb the citizens of this country to process thier passport applications, can be designed so horribly with glitches and problems all over. We are in 2025 and the government still can't design and launch an app without any sort of user glitch or interface issue. Digital India is a lie.",42,
2025-06-21 17:38:35,1,Useless App This app does not let you type properly It registers multiple keystrokes for each letter you type. You rarely get email or phone OTPs. I got my OTP the next day. This is easily the worst app I have seen and it's a shame that it represents one of the most important service (Passport).,38,
2024-05-29 11:35:52,1,I was reissuing passport from one of search engines on 26th May 2024. I filled up required information and waited for the payment and schedule for appointment. There was error in transactions twice with a remark of FAIL option but when third time made a payment through UPI Transaction it deducted 1500/- and the payment remark was SUCCESS. It also makes failures in login. Several time redirected to forget password. It's a bug in disguise. The ARN or File number which is generated is invalid.,35,
2025-09-02 18:32:33,1,"1. Background becomes white and so does the letters in front 2. The questions for criminal record are all missing, there's only yes-no option but no question 3. Digilocker access does not go smoothly 4. If due to any error ( digilocker ) you come out of the app you'll get a ""session has expired"" error and it forces you out 5. It ""saves"" the old form, lol it misses out more than half the detail App is slow, sluggish to respond. Could use better elements and design. A rework is highly required",34,
2025-09-28 11:08:05,4,Revert the dob number keyboard to text. / is not available in number keyboard. you should test this before deploying the update. thank you,30,
