date,rating,review_text,thumbs_up_count,title
2025-11-25 16:42:19,1,"The worst app to order from. Happened with me 3 times now, always thought might be a mistake but this time it was worse. Ordered 2 items from a restaurant, and received none, an empty bag with the cheapest product of the restaurant available. Never happened with any other delivery apps. Also no instant customer support, where should I put up my issue",183,
2025-11-25 01:53:52,1,"Used to love Swiggy but it's getting worse everyday. Got orders delayed by half an our, got cold food delivered, didn't get any compensation. All I got was false promises, twice. Was trying to add a mode of payment and mistakenly placed an order today. Immediately went to cancel the order only to be informed a cancellation fees of the full amount would be charged. it's not even been a minute yet. Frustrating would be understatement.",122,
2025-11-23 09:22:35,1,"While ordering, they promise to deliver in 35mins but it is never within the promised time. I understand, delays might be due to traffic or any other reasons in real-time, but delay upto 30-40mins from the actual time is just ridiculous and unacceptable. Plus they want us to pay more for faster deliveries, yet on that too, they delay the orders. No point of paying extra. Better to prefer other food delivery apps when in cases of emergency.",96,
2025-11-21 10:26:58,1,"I’ve faced delivery delays many times with Swiggy, and most of my orders end up getting canceled. My last order took 1.5 hours just to assign a delivery partner, even though the delivery itself needed only 45 minutes. When I asked to cancel, they said the money couldn’t be refunded. Only after I insisted on either delivering within 30 minutes or refunding did they finally cancel the order. Very disappointing service.",79,
2025-11-30 16:02:53,1,"I am having back to back bad experience with the app where I order some food and few items are missing after delivery. On requesting for help, bot asks few question and then when I choose the option for talk to agent, it will send an auto message which says we will get back to you in 4-6 days via mail since we need more time to investigate. This is so disgusting and frustrating. And when the agen finally comes back( if they comes back) on mail there is no resolution. Complete waste.",52,
2025-11-30 15:05:10,1,"Worst app, takes the order automatically in the name of user friendly interface and also doesn't give any option to cancel the order, with 100% cancellation fee applied to your next order, adding insult to the injury. Going to never place any order from it. Since so many people have given 4 or more stars, that's why they don't bother to resolve the issues of their customers. Bad experience from the customer support, too. They behave so weird",50,
2025-11-20 10:58:44,1,"Pathetic customer support , completely Unprofessional. Delivery partner misbehaved and left without delivering the order , yet the app showed that order has been delivered. After so many mails & calls to the Support team to help me regarding the issue , they didn't even responded to the calls properly. Would recommend everyone to look for better customer friendly platforms.",48,
2025-11-25 17:33:45,1,"If I had a minus option to give, I would gladly do so. It's very rare that I give 1 star to any food organisation but they deserve it. I ordered from Instamart n the food delivery both at different times on the same day. But they couldn't provide any delivery agent on time and it had been too long so I cancelled the order. But they charged the entire amount as cancellation fee. This isn't the first time that such a thing happened. They are a fraudulent organisation.",32,
2025-11-20 04:20:44,1,"I paid extra for an express delievery, so that my order reaches on time. But got delayed a lot. There is no point in adding any extra membership to swiggy, as they do not serve well Late orders on express delievery and even customer care says we will refund the amount. Means no accountability on the paid features of app, but refunds only. Really frustrated here with swiggy now.",22,
2025-11-26 18:21:17,1,"Extremely disappointed with Swiggy Instamart’s pathetic service. This is not the first time my orders were delayed or cancelled. Today, after spending over an hour selecting items, my order was cancelled just because the weight was more. Instead of assigning another delivery agent, you conveniently cancelled it. This unreliability and lack of accountability is unacceptable. Your service is becoming impossible to trust.",11,
2025-11-29 16:35:13,1,"Ordered food, it was getting delayed with no additional notice. Then it got cancelled because the ""restaurant was too stressed"" over an hour after originally placing the order. If you can't make it, you should cancel it early on instead of making us wait, no? And if the customer decides to cancel their order even a minute later they take the whole charge but if the restaurant is canceling randomly they face no extra repurcussions.",9,
2025-11-30 10:20:19,1,I am giving 1 star to just highlight the issue. While ordering on zomato it has 2 coupon sections one from restaurant and other from different banks. While swiggy has only 1 section of coupon in which customer can either apply bank offers or restaurant coupon so i always order from zomato i request swiggy to implement the same feature that will be beneficial for customers. Thanks,8,
