date,rating,review_text,thumbs_up_count,title
2025-11-29 09:29:14,4,"I like this app. Although you still can't use it while syncing it completely freezes until that's done. This new update is fire! The lag used to be a real issue, it was extremely laggy. I've used keep on my laptop and now on my phone as well. Not to mention being unable to use the app when it's syncing because its literally stop responding until it's done. You'd stop an entry and wait several seconds, which made the app a pain. but now the download performance is smooth and more stable.",371,
2025-11-28 03:57:05,4,"I love the app.! it was extremely laggy. The app is sooo much faster download! This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain to use. Not to mention being unable to use the app when it's syncing because its literally stop responding until it's done. You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added to the entry. but now the soo much faster download and more stable.thnx",93,
2025-12-03 11:39:58,5,"I really like the app.! This is syncing happens pretty much every time you open app, start, stop, or edit an entry, so it. I've used Keep on my laptop and now on my phone as well. but now the download is faster and more stable. You'd stop an entry and it'd be several seconds before it'd probably stop and those extra seconds are added to the entry. Thank you to everyone algorithms! Not to mention being unable to use the app when it's syncing because its literally stop responding until it's done👍",83,
2025-12-04 09:50:50,5,"I love the app. This new updates is fire! it was extremely laggy. Not to mention being unable to use the app when it's syncing because its literally not responding until it's done. The app is sooo much faster download. You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added to the entry. Thank you to everyone algorithms. This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain to use.",60,
2025-11-25 07:35:49,5,"I love the app! This new update is seriously fire. It’s soo much faster and smoother now, especially during downloads and syncing. Before, it used to be extremely laggy and would freeze completely whenever syncing started. You’d stop an entry, and it’d take several seconds before it actually stopped, which was annoying. Now everything runs more efficiently, with only a brief pause while syncing. The overall experience feels polished and reliable. Huge thanks to everyone and the algorithms.Thanks",24,
2025-11-28 11:28:14,4,"I love the app! This new update is fire! it was extremely laggy. Not to mention being unable to use the app when it's syncing because its literally stop responding until it's done. The app is sooo much faster download. You'd stop an entry and it'd be several seconds before it'd actually stop and those extra seconds are added to the entry. This is syncing happens pretty much every time you open the app, start, stop, or edit an entry, so it was a real pain to use. Thanks to everyone individually.",12,
2025-11-25 04:49:48,1,Disappointed with the service..it shows internal error everytime I try to convert my 4000 coins into gold...and they close the ticket without resolving the issue ..not expected this from paytm ...compain id is - 200000506009 No solution even after 7 days ...worst app..third class customer care service,12,
2025-12-02 12:27:07,5,"I like this app. but now the download performance is smooth and more stable. You'd stop an entry and wait several seconds, which made the app a pain. I've used keep on my laptop and now on my phone as well. Not to mention being unable to use the app when it's syncing because its literally stop responding until it's done. Although you still can't use it while syncing it completely freezes until that's done. This new update is fire! The lag used to be a real issue, it was extremely laggy.",9,
2025-12-01 00:56:29,5,Excellent working and performances always for A better experience,8,
2025-11-27 06:54:36,1,"I am facing a serious issue in the Paytm app. I deposited money into my Paytm account and received the “Deposit Received” notification, but the amount is not showing in my bank balance. When I tried to link my SBI (SBIN) bank account for UPI, the bank is not appearing in the list at all. My UPI is active, the mobile number is correct, and I have already updated the app, but the problem still exists. Please fix this issue as soon as possible. It is creating a lot of inconvenience for users",7,
2025-11-27 05:36:47,1,"very very disappointed from this application ,so first of all it is showing sufficient balance in Paytm,but can't transfer because of insufficient balance,contact bank they are also saying insufficient balance,but why this app continue showing sufficient balance,I have experience a worst from this app ,at last moment u realise that Paytm is showing wrong balance all over the time,and I have got a lesson from this I will never ever use or trust Paytm ,and last there is no customer support .",7,
2025-11-30 16:20:51,4,"You have increased letters size ok. but while making payment through credit card, I can't see credit card number. At least last two digits. Then only I can Identify credit card. And another problem with balance updation which is late",6,
2025-11-25 07:26:51,1,"would give 0 stars if possible. Horrible app, non existent support. has taken my money but not issued tickets even after 16 hours. AI assistant is useless and there is no human to actually support. we are stuck in massive limbo as we need to travel soon but don't know if PayTM is going to issue tickets or refund us causing us massive stress.",6,
2025-11-30 07:38:22,1,they are not refunding my multiple booking cancellations. On the raising issue they have dumb bot which is saying that it can't escalate matter. This company is fraudulent and with no intention to raise. I don't find any way to raise the issue from where i can escalate the matter.,5,
2025-11-28 12:54:23,1,"I am unable to add a voucher. as per support help note, KYC is done, but still unable to add it and also unable to reach your support team. also unable to raise a support ticket. The chat bot not allowing to raise a ticket. I am unable to raise a ticket. The worst app. THERE is no support from the team, also there is no way to reach live support. chat bot is not understanding the issue",5,
2025-11-25 03:46:02,5,"Paytm is one of the best apps for sending money online to anyone, without any extra charges, and it's a Very fast and secure payment app. Thanks One97 Communications...♥️",5,
2025-12-06 16:01:33,4,Awesome! I've tried so many other UPI payment options and nothing satisfied me like this Paytm. But one issue I am facing is unable to remove existing bills in the section and it's really irritating glitch. kindly look into it. Thank you for making such an app.,4,
2025-12-01 16:53:16,1,Really poor experience while using for booking metro tickets. The app got stuck in a loop of opening the help window and when I raised the query there it just opened the same window again and again. I had to buy new tickets. Really hopeless experience.,4,
2025-11-25 16:32:54,5,It's the best UPI app I have used. Everything in one app only be it travel tickets or metro tickets or any domestic bills. It's better than G pay and Phone pay. Moreover I like paytm's interface.,4,
2025-11-24 05:35:53,5,"Worst app Explanation - developers , I installed it recently and tried to link my ippb bank account but it showed a problem after some days I tried again and again and then uninstalled it and again installed it but then also it was showing the same problem that unable to link bank account now pls answer me developers it my problem gets an solution I will surely increase the ratings to 4 stars update : the issue was resolved",4,
2025-11-28 14:39:13,1,Paytm is getting very disappointed day by day no proper customer service there is no one to help you when you need a help only bot is answering and not providing any number to me I am trying to confirm my redemption of mutual fund from last 7 days but there is no reply and no one is responding on the call I suggest you people not to use the service anymore there are so many good options available like grow stable money they are good in solving this kind of queries and I am stuck badly in this,3,
2025-11-28 12:59:35,2,"Have been using this app for 4 years now. I'm still waiting for a cleaner version, may be a lite version which only does upi for those who like simple apps.",3,
2025-11-27 10:14:04,1,"do not use this app for travel, and bookings. they never give refund. It's been 15 days, i did not receive refund. raised 15 tickets but all of them are closed without any resolution. can't call them, can't email them. this is fricking worst experience.",3,
2025-11-26 10:00:25,1,There is no meaning using this app. First of all the payments don't succeed properly and if you try to reach customer care they'll just make you chat with a bot which won't resolve your issue and if you ask the bot to connect you to a real person it'll just make you wait for a millennium and you won't get a call back ever. In short use other upi apps,3,
2025-11-26 08:18:32,5,Excellent app n service. fast n rarely fails or delay in payment is there. secure n reliable. got some rewards also.,3,
2025-11-25 12:34:12,1,with the new UI update paytm has become worst. it takes forever to make payment. you'll have to wait for atleast 2 minute for one single payment.,3,
2025-11-25 08:32:20,5,"The payment app is very helpful for payment. The app gives us real cash and gold coin in every payment . This gold coins are converted in to real gold .so, the app is very useful to us.",3,
2025-11-25 04:11:17,1,Do we have wallet service like earlier?,3,
2025-11-24 16:57:05,5,Animations are just awesome,3,
2025-11-24 13:56:11,1,3rd class experince faceing iishue last 25 days ur services good 4 nothing in chat bot as well as on call if they pick req of consumers other other waise most of the time if consumer calls they directy put on chatbot shame on u paytm team .if u dnt have guts to run it again after takeing actions againt u from RBI i will suggest and told them on all platform bann u right away now ur good 4 nothing.,3,
2025-11-23 18:03:41,1,very bad service i have opened gold sip from long time daily basis rs101 now my my money saved in gold locker more than 25000 but the problem is I can't open the gold locker page past 8 days I am trying to open gold locker still it is coming blank when I asked for help ai can't solve the issue new ticket new ticket raise telling still problem is not solve,3,
2025-12-06 11:01:30,1,Without telling debit my money thats not right money debited from postpaid fraud company,2,
2025-12-05 06:06:17,5,this is a best app for Evy on,2,
2025-12-04 15:57:58,1,"paytm gold is stuck. I can not get physical delivery. can only sell it back on their portal with high transaction charges effectively... from atleast last 6 months+ it shows ""coming soon"". but Paytm doesn't know the meaning of Soon it seems.... Paytm gold is essentially a fraud.",2,
2025-12-04 02:59:34,5,very simple and fast mony transfor this secure app I like ❤🤟🤗🥰,2,
2025-12-02 15:46:25,5,बहुत ही अच्छा ऐप बिगर नेट के भी रिचार्ज हो जाता है lajawab,2,
2025-12-01 10:01:04,3,Nice service 😘,2,
2025-12-01 03:36:08,4,There should be an in app passcode lock system which is not easily breakable. Currently it relies on device lock system and same passcode as of device which make it more vulnerable.,2,
2025-11-30 10:53:14,1,worst support team.. main 25 nov se ek issue ko leke complain kar rha hu but customer support team so ke uthti hai or 1 reply deti hai or phir so jati hai.,2,
2025-11-29 15:24:03,5,nice,2,
2025-11-29 15:12:08,1,Not good services. Poor customer care services 😡,2,
2025-11-29 13:54:42,1,Very poor services. No any person are available in call. only chat and no any response in chat.,2,
2025-11-29 12:28:31,3,this patym app is scam I have sell gold coin for 80 it's showing only pending not getting money,2,
2025-11-29 11:52:55,1,i purchased gold worth 1 lkh rate 13287 per gram but when I saw the selling price only to try selling price is 12500 only o my god I am shocked 😳 this is clearly fraud by pay tm give my money back as soon as possible otherwise I will go in court and also posting vidio with proof on social media,2,
2025-11-29 10:58:47,5,സൂപ്പർ 🩵🩵🩵,2,
2025-11-29 10:30:29,1,amount not received i want big amount jack pot,2,
2025-11-29 07:37:41,1,Paytm's customer support service is very poor. very poor,2,
2025-11-29 01:08:41,1,Their Paytm gold scheme is a scam.,2,
2025-11-28 17:09:45,5,"In my opinion, this is a very good application, absolutely the best for UPI payments because here we can customize our UPI ID for free. The simple interface and ease of use make the application absolutely great.",2,
2025-11-28 06:41:11,1,customer care doesn't respond 15 day's ago i was rised my complaint but no any reaction. wast customer service,2,
