date,rating,review_text,thumbs_up_count,title
2025-12-03 16:32:28,5,"Hi, this platform for learning is very helpful and also teachers are all good overall the experience is good but the one thing which is the reason for decreasing experience is , when I watch recorded lecture I can't ask doubt and also timeline is showing 'no slides yet' so I request to solve both of the issues and especially focus on doubt section. Thankyou sir after this, in latest version the same problem is coming. please sir solve it. So I can ask doubt. thankyou",20,
2025-11-30 19:33:25,1,"I AM JUST SO FED UP OF THIS APP'S LAGGING ISSUE !! I don't even remember the amount of times I've already complained addressing this same issue, every other day this app doesn't open, like when I open it it just keeps showing the logo and doesn't work I can't even study properly because of this, I literally beg you to fix your issues please it's a humble request, I even keep my app up to date",15,
2025-12-02 11:13:00,2,I have paid for the batch many days ago but i haven't received the comeback kit.,8,
2025-11-29 06:47:43,5,how can I get back to old interface as there is no option now to switch to old interface.........idk what the heck you wanna do with its interface,8,
2025-12-01 12:38:24,1,"I was using it for a few days to catch up on some lectures. But recently sometimes the app doesn't open and when it does, I can't access the lectures or anything and it's just a loading display and asks to select my batch constantly even though I did it repeatedly.",5,
2025-11-26 09:14:22,1,"Zero Stars: Unacceptable Service and Logistics Do NOT consider PW. My experience with getting study materials has been a disaster. First, the delivery partners are unprofessional—they failed to deliver the books, leading to a Returned to Origin (RTO). Second, the customer support is unresponsive and fails to solve the problem. I've been waiting weeks, with no tracking ID or accurate dispatch date, even after multiple follow-ups. They just make empty promises. Problems not solved. Avoid PW",5,
2025-11-28 05:08:50,1,"3rd quality app,phle smooth chlta tha jb se new study page aaya h lag aa rha h.",4,
2025-12-07 05:39:40,2,in my chrome book online test and DPP solveing interface is disgusting (I really don't like to use pw chrome app) plz pw team fix it request to Alakh sir . It is not easy to use contact us option . l already request in that section no result found,3,
2025-12-05 22:04:46,4,Hello. Ima jist saying this straight like why do ya have to put a system of xp if yer can't count it properly. I am very disappointed like why don't yer count mine properly ?? 😭😭😭,3,
2025-12-07 10:59:27,3,"please check the ui, we can't even see the pinned message completely. I remember pointing out this issue even before.",2,
2025-11-26 12:03:00,3,"This app 's overall functioning is good but many times when I want to open it doesn't open even if it's updated its not a problem of 1 day the problem occurs on daily basis, I have compl1eted all the troubleshooting steps but the app still doesn't work",2,
2025-11-25 14:42:34,1,I just started the app I submitted my phone number then otp sent to me successfully then I enter through the app shows otp is incorrect and I think just fill otp wrong but I check otp is correct so can you tell why the app shows otp is wrong I try again and again but the app shows otp is incorrect,2,
2025-11-24 19:02:46,3,Error 403 occurs most of the time . I have complained in contact us section .they show the issue to be resolved without solving it . I am unable to take my classes it is really disturbing . before this error 404 also occured frequently . Xps are not increasing due to this . I also have a suggestion. pls make download option available on laptop also,2,
2025-12-06 16:18:29,1,"what the hell is going on guys, what are you all trying to do. please make it stable not unstable... whenever I try to download notes the error pop-up... you are real sit out of heri as (you got my point) please the feedback and work on that. not on nonsense updates which destroys the App interface💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡",1,
2025-12-06 12:14:39,5,please change the study page to old style new study page is not good,1,
2025-12-06 09:44:17,1,"PW’s support for Bihar Board English Medium students is weaker compared to CBSE. AI Guru answers are often CBSE-oriented, books don’t cover Bihar Board–specific topics, and teacher quality for Bihar Board classes is not at the same level. Please improve board-focused content, book quality, and teacher expertise so Bihar Board English Medium students also get complete and equal preparation.”",1,
2025-12-06 08:09:44,3,"the app was good overall but recently I've been facing technical glitches and I can't watch any videos or lectures I can't even select my batch, it kept on saying there were network errors or that something is wrong, but I've checked my network and it's been 2 days, I tried deleting and re-installing but as soon as I login the same problem happens, dear pw team please fix this soon, the fate of many neet aspirants are depending on your app",1,
2025-12-06 04:20:29,1,app doesn't work on wifi. app isn't opening. pw live website work but app doesn't work. if mobile data is on then it's work. please resolve this,1,
2025-12-04 05:05:01,1,"kya ghatiyaa app h yrr itna gussa aarha h na kal raat se mai is app ko open krne ki koshish kr rhi hu but ye open nhi ho rha pehle blank white page show ho rha tha or 3 ,4 bar delete krke download kr liya fr bhi kuch nhi ho rha or ab subh ye chalu hua app to isme batch hi nhi aarha mera vala uske bhi 1 ghanta ho gya btao ab kl se mai apni class nhi kr payi ,very irritating app ,👎👎👎👎👎👎",1,
2025-12-03 15:38:27,1,some error occurred in app its not opening,1,
2025-12-03 04:09:33,1,not optimised for mobile device and tablets. when using mobile device solving DPP it appear very small image with text it is very small and difficult to read and we can't even solve DPP in landscape mode kindly fix it. when using tablets it appear to be very small compare to screen and do not support landscape mode it automatically switched to Porait mode.,1,
2025-12-02 22:36:36,1,after updating.. it doesn't work properly.. have to take recorded lectures due to the problem.. I m fed up with the issues but not resolving.. 14 nov.. again issues.. I have checked everything.. but there is something wrong with your app.. please do something.. it's creating my backlogs .. troubling me. again not working.. again facing issues on 26 nov ..... this is not done..... pace bnta hai.. and then it break.. due to such issues 3dec again issues,1,
