date,rating,review_text,thumbs_up_count,title
2025-10-22 12:37:36,5,"Please provide a ""Total asset tab"" in the home page which should show the total investment amount in both stocks + mutual funds. 2. Gift nifty index is not there ok groww. other brokers app is showing gift nifty index. kindly provide that too..",9651,
2025-10-10 11:50:33,5,"I have opened a demat account using this app & it is very easy. and this investment app is one of the best trading apps that I have ever used. The platform offers seamless mutual fund investments, stock trading, and SIP options. The user-friendly interface makes investing hassle-free, while real-time tracking ensures transparency. I love the zero-commission feature and fast withdrawals. Highly recommend this app👍",3574,
2025-09-19 11:54:11,4,"I've been using the Groww app for a while now, and it's fantastic for tracking investments, mutual funds, and buying/selling stocks. The UI is clean, and it's beginner-friendly. However, one feature that could take it to the next level would be stock recommendations for both long-term investments and short-term trades (like swing trading). It would be super helpful to get insights, expert analysis, or even curated stock lists based on different time horizons and risk appetites.",2344,
2025-09-19 11:41:58,4,"This is one of the best platforms for investment, but applying for an IPO is frustrating. Recently, the application process gets stuck on ""sending application to exchange,"" failing to generate a number or send a mandate. Other platforms like AngelOne and INDmoney are much faster. But I prefer using Groww, so I often have to cancel and reapply to get my application submitted, which is especially stressful on the final day.",1998,
2025-11-02 16:08:18,5,"Super impressed! The documentation process was incredibly quick and effortless. All my mutual funds were auto-loaded from the central repository, requiring zero manual effort. The best part was that it even retrieved some of my old mutual funds that I no longer had records of. I also raised a redemption request, which was processed swiftly. If the payout is completed within the estimated timeline, this would be an outstanding overall experience.",1462,
2025-11-09 19:36:29,5,"Couple of issues that can be addressed. Many brokers allow the details of the trades along with the charges to be downloaded in the Excel format for uploading the data to another Excel sheet maintained by them. Groww needs to work on this aspect. 2. when I transact, the rate given on the screen is seemed to be higher than prevailing rate if a buy is being placed and similar for a sell transaction. I would like a situation where the rate on the screen is blank and filled by the trader.",1022,
2025-09-20 21:39:56,5,A suggestion to include portfolio analyser where market cap allocation and percentage allocation of each stock is shown which is available in kite. The latest update has portfolio analyser and xirr indicator which is exactly what I had wanted. Great The app keeps getting better with every update. Now it u can also import the stocks from the other broker app u have two accounts. Can compare xirr with nifty returns. Great tools to analyze the portfolio. There is no need for a third party app,938,
2025-10-31 01:23:27,4,"Groww is one of the smoothest and easiest apps for beginners in trading and investing. The interface is clean, buying and selling stocks is simple, and GTT orders make it beginner-friendly. However, the app still needs a few advanced features like stop-loss / take-profit for delivery trades and trailing stop-loss options for swing traders. Adding those would make Groww perfect for both new and active users. Overall, it’s great for starting out, learning, and building a long-term portfolio",895,
2025-09-21 08:41:24,1,"The employees always use a sentance to blame their short comings on either Sebi guidelines or network server problem. Of lately they have found a new person to blame for their short comings in running the app without lags or glitches - AI tools. But they will never admit their fault that they are running a faulty app full of lags, glitches and false timing data charts. The data displayed is not in real time, you place three different monitors you will have three different data displayed. Why?",874,
2025-10-06 00:54:24,5,"Best experience 👌 overall! But I faced one issue — I bought 3 stocks and tried paying via Fampay UPI but the payment didn’t go through. Also, the brokerage charges feel a bit high — even when I get ₹2–₹3 profit, ₹10–₹20 gets deducted, which is frustrating. Please fix this issue, otherwise Groww is really one of the best and most user-friendly trading apps! 🔥",873,
