date,rating,review_text,thumbs_up_count,title
2025-12-04 17:24:33,5,"please add stochastic indicator, which is very useful",5731,
2025-12-03 23:13:03,5,it's been 1.5 years I am using groww. However since then till now they have improved a lot. They have improved their UI which is very easy for beginners. I prefer this app over any other investment apps coz of it's simple UI. I have invested in stocks and mutual fund through this app as the steps were very easy. A beginner can easily understand how to use this app and even portfolio tracking is also very easy using this app.,3575,
2025-12-03 10:21:37,5,"This platform is user-friendly, with seamless execution for stock trading and investing. I love the detailed market insights and the ability to trade in equity, derivatives, and mutual funds all in one place. Their customer service is top-notch too, making trading stress-free. and very easy to see the sip viewand graph.",3440,
2025-11-28 01:32:38,4,"Very good app,though there is one limitation, that is a 10 year section not available for mutual funds when sorting or viewing any individual funds chart,it is important since it gives more long term perspective,and I would suggest for it to be added.And currently very few bonds available.",435,
2025-11-29 13:49:49,5,it's all good.... pls avail the SL and Target trailing on the chart itself.. coz whenever I go in profit I need to trail the SL n target... and it's very irritating to go through the whole process to be done in a manual way. so pls add that feature.. I need all the features on the chart either it's sl target or dispose the position. it would be a good relief. pls look into this .,321,
2025-11-24 09:39:41,5,I seriously think opening an account with Groww was this easy. A clean and smooth UI and hassle free process - all up and running in half an hour. Even the app is so smooth and easy to navigate. Adding funds was also super smooth. Totally recommend it.,214,
2025-11-29 12:42:17,2,"The app is good, but the call center experience isn’t. I prefer your AI Voice Assistant because it solves my problem in just 30–50 seconds. In a human call, I first have to enter my date of birth, then select options based on my issue, and only after that do I get connected to a representative. The whole process takes around 7–8 minutes. The speed should be faster. In the end, my problem was solved. Thank you.",143,
2025-11-22 20:05:42,1,"only good for long time for others it is worst app.. i lost alot of money by using this app.. some time refreshing some time not exicute etc.. many problems are there in this app.. and you see more profit on your PL, But when you exit it it will less than the first amount and when you see the loss amount on your PL when exit it the loss amout is more than when you see first... if you put a target number the target will hit only the target number cross above not will hit even reach the target.",104,
2025-12-04 09:25:42,2,I like the simplicity of the app but the dashboard seems messy if we have multiple funds of different categories. there is no way to group or see funds under certain categories.,68,
2025-11-27 14:34:16,4,"Showing events in single place is a great update. One suggestion, it would be nice to be able add & edit notes in MF/SIP, since everyone might have a reason for joining each SIP. Also, along with 52 week prof, dividend would be a good reference.",67,
